content,sentiment
akun saya di hack sudah dikirim email tapi isi email nya kek gitu mulu susah amat minta bantuan tencent coba influencer pasti bisa di bantu percuma isi uc banyak ke hack gak dapat akses menghubungi cs tencent,negative
sering ngebug,negative
agak sulit,neutral
device saya android dengan cipset snapdragon main pubg tetap saja frame parah saya merasa pengalaman buruk di pubg versi ini,negative
hp ram gb bisa apa huftt tapi mantap lah buat pubg mobile,positive
bagus keren bintang new terima kasih,positive
aku saya di hack gak bisa login lewat fb bagaimana solusinya,positive
nice game,positive
lama banget download nya,neutral
download nya lama banget,neutral
astaga ni game makin lama makin rusak setiap saya mau main pubgforce close padahal udh bagus device masih aja,negative
hai admin di pubg saya terkena bug tidak mendapatkan kode verifikasi login dari gmailsetiap meminta kode verifikasi selalu tidak masuk mohon bantuannya terimakasih,negative
good,positive
sangat baik,positive
bad,negative
mohon di tingkat kan kembali servernya agar tidak terjadi bug bug yg aneh sekali lagi mohon di tingkatkan developer terima kasih,neutral
saya suka app ini,positive
kebanyakan event,negative
pada saat saat tertentu saya tidak bisa masuk kedalam game karena saya menggunakan jaringan wifi sangat merepotkan jika saya harus berpindah ke data seluler otomatis biaya internet saya menjadi double mohon solusi,positive
game kok nyembah patung game tuh nyembah allah,negative
sinyalnya kurang stabil buat push rank susah jdnya,neutral
like,positive
kurang sempurna masih banyak bug nya mohon di perbaiki ya tapi dari segi gameplay bagus kok lebih bagus dari free fire tapi bug nya itu masih belum di perbaiki semuanya waktu nonton temen lagi war orang nya itu enggak jalan mohon diper baiki semoga dibaca,neutral
satu bintang selamanya seiring waktu makin ga jelas,negative
pubg semenjak update banyak bug seperti black screenfore close,negative
gem ini sgt kurang bagus bgi sya,negative
kasih bintang dulu yakarena ada yang aneh di rank cs bug nya ngelag tolong benarkan game ini sat main susah karena bug nya ngelag,neutral
di cobak dulu,negative
mohon agak di perkecil size game nya min biar player hp kentang bisa main gak lag,positive
game memek,positive
asik jga,positive
pubg sekarang terlalu banyak cheater sdah di report msih bnyak jga edit fix uninstall pubg cacat terlalu banyak cheater tutorial cheat sampe unbanned banyak di youtube bikin sia main pubg gk seasik dulu kalo ada bintang minus kukasih minus,negative
vektor itu buff lah amunisi cumak belasan itu lo buat nembak apa kalau pun kena juga masi harus relod,negative
buatlah sprti pubg china karakter nya cantik dan game playnya menarik,positive
mantap,positive
tolong tencent ini kenapa pas di update jadi banyak bug gini,neutral
banyak bugg,positive
saya jadi takut download min jika bug nya banyak,positive
kenapa tidak bisa di download ni game ini game rusak yaa,negative
tidak asik seperti dulu,neutral
geme anjeng,negative
gem bagus,positive
why does the rand search system in pubg always give an inexperienced team and instead give good enemy,negative
udah jelek sekarang,negative
setelah diupdate dimusim ini micku ngebug terus ga bisa digunain,neutral
kerren bgt kusuka,positive
pubg haram,negative
the game is broken just downloaded again directly on the base tire the game is broken even though dont use cheats hard graphics elite tires,negative
males ah,negative
haruskah kita mengupdate terus,positive
mohon maaf kenapa ketika saya bermain banyak cheater nya tolong di bann ya,positive
kenapa sekarang gk bisa login,negative
knp makin kesini makin bnyk bugtolong perbaiki,neutral
pubg sekarang gak kaya versi yang kemarin sekarang sinyal bagus juga kadang lag buat di mainin gak kaya versi sebelumnya lancar banget semoga aja di versi berikutnya bisa lancar lagi,neutral
gamenya seru cuman zona di livik terlalu cepattolong di koreksi lagi,positive
banyak sekali bug di game pubg yg sekarang ayolah perbaiki saya sudah males rank saya turun gegara bug ini sangat meresahkan,negative
pubgm is the best,positive
maaf min saya rating karena bugnya meresahkan dari bug langkah kaki musuh suara tembakan pas turun dari pesawat harap di maintenance ya min oh ya pas ada war pingnya bukan turun malah naik terimakasih min semoga di baca,neutral
gem ini jelek sekali,neutral
pubg itu sukak menghina ff mm makanya aku gk suka,negative
uninstal lagi msak helio gak mampu main pubg patah poll,negative
gak asik lagi,negative
game nya bagus,positive
sudahlah bermain game main lah bersama aku,negative
ok,neutral
tolong gwa pengen main di erangel masa map gak ke ender tolong di perbaiki bugnya,neutral
seru pas awal season sampai season,neutral
bug sinyal trs jadi gua kurangin bintang nya jadi,neutral
step lwan sering gk kedengar sama gk muncul map,negative
mantap,neutral
apk ini ko donwlond gabisa,positive
masih terbaik udh tahun main game pubg,positive
bagus sih bg tpi sayang senjatanya gk keliatan,neutral
updatenya jangan banyak kasian hp kentang,negative
sering terjadi bug di mode arena team deathmatch yaitu karakter tidak muncul ammo selalu,neutral
bug karakter seperti tersandung bug step di mini map step teman jadi step musuh tolong dong bug bug nya diperbaiki kasihan player yang main,negative
kebanyakan bug tolol pubg mending maen epep padahal hp gua ram bisa bug gem tolol,negative
ok,positive
hem,negative
kebanyakan event,negative
oke,positive
pubg aku bingung harus bagaimana kamu bukan pubg yang aku kenal seperti dulu saat dimana masa kamu adalah game yang membuat hari ku sangat indah walaupun aku sering tosoon tapi aku nyaman bisa tertawa lepas dengan orang random gak pada toxic main havefun intinya masa itu adalah masa yang sangat aku suka dari kamu pubg thanks pubg mobile,positive
game lu banyak bug anjir lah,negative
game ini bagus banget saya sangat suka bermain game ini,positive
bintang aja dulu soalx baru apdet ini,negative
semenjak di pegang krafton banyak skali bug keren krafton kamu cuman bisa ngerusak ni game doang,neutral
sering ngebug ngefris,neutral
saya coba dulu karna saya lebih suka main yg lite,negative
saya ingin ace master,neutral
banyak permasalahan sekarang gak kaya duluperforma kurang baik,neutral
tolong chiternya di hilangkan saya merasa di rugikan,negative
give us back pubg mobile lite,positive
bug masih sering saya temui di dalam game seperti awm ngga hit padahal udah ditembakin mic sering ngebug padahal udah nyala misi rp eror gajelas dll tapi udah banyak bug yang di minimalisir meskipun belum tambahan update terakhir gagal ekstraksi dan minta restart hp setelah restart hp hasilnya sama aja malah harus download lagi data gb lebih malah makin gajelas padahal pengen maen tapi malah eror apknya hadeh,neutral
gem ini memang bagus tapi ad yg tidak bagus nya pertama kali aku download pubg itu aku lagi posisi paket sekarat jadi paket ku tinggal mb dan gem ini kalo mau download ke atas jadi aku di hentikan karna paket ku habis dan setelah menit aku beli paket pas aku mau liat mala ulang dari tadi nya jadi itu lh yg enggak enak nya,neutral
itukan permainan laki laki aku kan perempuan aku sih gak download permainan itu cuma di pegang doang kok tibatiba bintangnya muncul aneh deh,positive
jaringan lag dan roll back sangat mengecewakan setelah update,negative
game ini seru sekali grafik dlltapijika gw main game ini gw tegang subscribe channel gw guys timuksjr,positive
sorry min fitur meminimalisir resource itu cuma click bait kah pasalnya saya sudah mengunduh low memory pack tapi tetap saja data game tembus ke gb pdhl saya hanya mengunduh peta bukan resource ini bug kah kalo misal bug coba di perbaiki ditunggu next update,neutral
seru gamenya,positive
dear tentcent untuk segi permainan si cukup bagus tpi untuk segi ke hokiannya tolong diringkatkan lagi ya,neutral
ga masok,positive
game tambah buruk sering lag hapus aja game nya kontol,negative
pubg pepek,negative
saat turun dari pesat rumah rumah terlihat tidak utuh jadi waktu habis terjum payung harus nunggu beberapa detik agar rumah rumah bisa kembali seperti semula,positive
kenapa selalu lag padahal jaringanny bagus,neutral
saya jadi takut download min jika bug nya banyak,positive
pubg nya itu bug,negative
kepada pihak pubg mobile servernya perlu di perhatikan lagi karena setiap gua login ga bisa di lobby sinyal lah pas di game sinyal nya itu enak kalau update selanjutnya ping server mohon di perhatikan,negative
ping jaringan tiba naik semenjak update,neutral
game nya bagus sekalitapi sayangnya sering banyak bug yang ngerugiin kalo lagi main,positive
kalau di apdete nanti jangan dong dwold kembali skin pakiannya sama hd nya dan jangan juga otomatis dowold penyimpan hp tidak cukup lagi tolong ubah dong jadi lek lek jangan dong boros meng habiskan kouta susah beli kouta,negative
good game,neutral
banyak buga msak setiap main waktu permintaan hbis pdhal bru buka aplikasinyamsih enak yg versi,neutral
geme haram isis,negative
kepada pihak pubg mobile servernya perlu di perhatikan lagi karena setiap gua login ga bisa di lobby sinyal lah pas di game sinyal nya itu enak kalau update selanjutnya ping server mohon di perhatikan,negative
sekarang tentang peta udah di downlodmain di erangel cm keliatan putihbangunan gak keliatanmasak cm main di livik trus,negative
kurangi bug nya ya,negative
aku belum cobasih tapi aku udah pernah main di hp temenku game pubg seru banget itu aja sih yang mau aku omongin gamenya seru pubg go go winner winner chicken dinner,positive
coba,negative
bagus,neutral
game nya bagus,positive
tencent tolong kembalikan chess rush gua ga nyaman dengan game lain,positive
nice,positive
sya sangat suka permainan ini,neutral
dont knowits good game online,neutral
sangat cocok untuk di mainkan ya,positive
kenapa semakin di update bukannya semakin bagus malah makin buruk bug rumah terlihat seperti batu karakter tembus ke bawah tanah suara kresek sinyal memburuk tolong perbaiki seperti versi sebelumnya agar semua pemain lebih nyaman memainkannya,positive
saya sudah update error terus ya padahal pake wifi loh,negative
jawabanya setiap pertayaan sama perasaandari pertama maen pubgitu itu jatapi ada ygd lakuinmakin sepi makin beratmasak gara gara game aja harus gonta ganti hp mulu,negative
kalau bisa perbaiki jaringan admin,neutral
cukup menyenangkan,positive
game rusak kalau player jaringannya tidak stabil keluar sendiri dari pertempuran masuk kembali malah cuma lawan map,positive
yanus,neutral
portinaiti la babaji,positive
menurut saya game nya memang sudah bagus tapi tolong bug nya di hapus biar lebih enak main nya,positive
gem haram,negative
dirank bronzegold banyak citer min,neutral
kenapa sekarang harus rilog lagi pas login sering sekali gini,negative
tolong untuk developer pubg mobile setelah saya update ke versi terbaru ini kok malah tidak bisa masuk ke game nya cuma ngestuck di loading awal terus keluar sendiri saya sudah restart hp sama hapus semua data pubg tetep tidak bisa di masuk ke gamnenya tolong dong di perbaiki lagi,neutral
menurut gw hadiah rp sekarang tidak sekeren yg dulu,neutral
login server gagal terus gk bisa masuk gak bisa main padahal internet aman aman aja ini update paling busuk kalau begini terus uninstall aja nih game,negative
game nya ngeselin udah minggu loading resources nya ga mau jalan padahal sinyal nya bagus dan penyimpanan hp gua masih banyak,negative
lumayan tingkatkan,positive
klo mau main ini pastikan hp kalian bagus dulu ya wkwk bobrok sayang,negative
hai saya ingin menyampaikan keluhan saya pertama tujuan saya bermain game ini adalah untuk mencari hiburan tapi setelah beberapa tahun bermain saya tambah pusing dengan sistem ranked dalam game seakanakan sangat sulit untuk mencapai rank yang lebih tinggi mungkin memang kemampuan saya yang menjadi masalah nya jadi saya pikir untuk tidak bermain pubg dulu untuk beberapa saat untuk developer bisalah agak di sesuaikan sistem ranked nya demikian dari saya terimakasih,neutral
game asu sinyal bagus kok di game server tidak merespon melulu asu emng lah tencent babi emng,negative
mantap kali game nya tapi koneksinya boros hari main akan menghasilkan gb hangus,negative
mic kadang tidak berfungsi,neutral
gw heran sinyalnya padahal dibuat main mlbb aja lancar di pubg gk ada sinyal kecewa saya,negative
lumayan bagus,neutral
ping nya tinggi banget setelah dupdate,negative
lumayan bagus,neutral
makin di update makin banyak bug ya tolong lah anj,neutral
nmabah ram lagi,negative
mic kadang tidak berfungsi,neutral
ga bisa login setelah update bgmna ini boss piye cuk ga ono respone jangkiirk admine somplak ga ada respon,negative
kenapa sekarang gk bisa login saya tolong di periksa ya admin,neutral
tolong dong size gamenya kecil,neutral
baru di coba,neutral
bisakah pubg lebih serius dalam mengurus mode metro royale menambah monster misi dan memperluas peta serta menambahkan lebih banyak fitur didalamnya atau mungkin merilis game baru seperti mode metro royale banyak peminat mode metro royale di pubg mobile mungkin sudah saatnya untuk lebih serius menggarap mode ini,neutral
makin asik aje ni game semenjak gw uninstall nih gme di download lagi makin bagus dah,positive
cukup dan perbaharui ya hp ku bukan hp baguss kasiankk,neutral
ok,neutral
semakin di update kok semakin susah login ya,negative
game tai cheat mulu babi,negative
tolol maen tdm musuh nya engga ada keliatan giliran gw mati baru kelitan anj game rusak tolol banyak update doang bug kgk di urus gblk,negative
gem haram,negative
masih banyaknya bug saat bermain contohnya spektor nge bugsaat melihat teman masih bermain dan saat di rekol nge bug juga tidak bisa terhubung kembali ke dalam game,neutral
game paling mantap,positive
makin lama makin membosankan main pubg karna pubg gk kayak dulu size ukuran masih ringan hp kentank pun msih bisa di mainkan sementara sekarang pubg makin lama makin besar ukurannya bug masih banyak seperti parasut di karakin dan bug di event tertentu dari situlah player pubg banyak yg pensi karena yang cuma dipikirin skin dan event doang sementara bug masih banyak citer hadehh,neutral
bang tolong bagi sensi pubg untuk hp oppo,positive
karna game ini rame tpi ada satu bug gak ada suara musuh to long di perbaikki developer,positive
bagus,neutral
mantapp,negative
sering keluar sendiri ketika sedang bertempur,negative
tambh lama tambah gk bagus pubg,negative
bintang dulu pubg tambah berat karena download resource otomatis meski sudah di matikan fitur download pubg tetap mendownload data yg ada di layaryg di pakai,neutral
ini knp ya kok gk bisa dibuka gamenyaapakah batas waktu sudah saya hapus terus saya download lagi tetap gk bisa dibuka,positive
gamenya mantap,positive
buat player pubg game kok mati suru hahaha game kok gak ada lif hahah game haram mau muntah liat game ini,negative
saya sering main gem pubg tapi hp ku disita sama guru sekolah sbnyak thn aku kasih bintang aja,negative
mantap,positive
kok gabisa ya login twiter dari semalem server trus kenapa min,neutral
sok hd,negative
kalo bisa usahakan device menengah masih bisa bermainberat banget sih punya game,neutral
saya kasih bintang dulu ya maaf developer bug nya tolong di perbaiki contoh medkit tidak keluar sama bom terus bug parasut sudah itu aja,neutral
gamenya bagus saya sudah dapat skin senjata legend tapi kok skin saya pas di lobby keliatan pas main kok nggak keliatan,positive
klo baguss tmbah,negative
untuk fiturnya bagus tapi pas saya turun selalu ada bug tidak patah patah masih saja saat saya sedang berlari tiba tiba karakter saya jatuh dan tereliminasi mohon untuk di perbaiki saya memberi rating hanya bug saat turun dari pesawat,positive
koneksi suka error padahal menggunakan wifi ping pas di coba pake paket data ping lancar ini apa gimana,neutral
makin puyeng dgan byknya pitur aneh,negative
cukup,neutral
bagusdan wajar bug soalnya semua game online jga kya gtu,positive
saya sangat menyukai game yang satu ini sebelumnya saya memainkan mobile legends namun saat memainkan game ini rasanya masih ada sedikit bug bagi kmai yang hp di bawah rata mohon di optimalkan kembali trimakasih,positive
ku kasih bintang bukan masalah grafik game play atau pun yang lain masalahnya hp ku nggak supportuntuk game ok tapi rendering nya bos perbaikin karena setiap kali terjun dari pesawat langsung masuk ke tanah pas turun juga pindah tempat yang awalnya mau terjun didarat malah di air pas mau cari loot juga sama rumahnya kaya ager agerjelly ok itu aja perbaikin ya bos kalo udah lebih baik gw kasih bintang,negative
ping sering di atas padahal jaringan lagi bagus,positive
ini game download resources mulugak manusiawiniat di mainin gak game nya,negative
downloadnya lama banget ya,positive
oke akan saya tunggu updatetan nya mode vs ai seperti dulu seperti waktu pertama kali hadir nya mode vs ai karna saya player yang tidak mementingkan tier hanya bermain untuk havefun saja terima kasih,positive
game sangad buruq,positive
kok aneh yaudah di download tapi pas dimainkan malah disuruh download data obb lagitrs mb tu dapet nya apa masa aplikasi doanggimana nih developer,neutral
sekarang setiap main pubg makin beratsinyal juga makin susahapa lagi bug ny makin banyak,neutral
gem ini bagus sekali,neutral
halo min setelah update pubg saya tiba unstable network dan udah berulang kali saya udah mengikuti petunjuk yang sudah di arahkan tapi tetap saja masih untable network mohon di perbaiki bug network nya,neutral
makin sini makin lemot saja dasar game babi,negative
ok baik,positive
game kebanyakan bug,negative
asu,negative
bagus,positive
bintang tiga,neutral
luar biasa,positive
bot bawah sendiri,negative
tidak merasakan pugb yang dulu sekarang banyak cacat nya,neutral
good,positive
terakhir main banyak bug minat para player jadi sangat berkurang,neutral
tolong di kembalikan acount pubg yg ke baned biar rame lagi,positive
game asw,negative
developer saran saya lebih baik grafis pubg mobile di kembalikan seperti dulu saja grafis pubg yang dulu udah bagus kok saya dulu bermain pubg pakai hp ini lancar tapi sekarang patah patah walaupun menurut saya grafis pubg sekarang tidak beda jauh dengan yang dulu saat season sekian terimakasih,neutral
download nya lama banget,negative
di game pung ini banyak sekali bug dan cheat biasanya di pubg ini sumber bug adalah cheer park,neutral
oklh,neutral
pubg pubg,positive
baru mau nyoba mau liat bagusan pubg apa frhe fire bintang dlu lah,neutral
pubggue ngasih bintangtencen lebih bijak lagi,positive
tolong developer game tolong perbaiki permasalahan akun contoh nya saya lagi asik asik main malah di suruh login ulang padahal jaringan saya bagus tolong perbaiki lagi,neutral
bikin habis data aja unduh ni barang tll,negative
apasi force close mulu tiba ga asik amat turun mulu gua device realme pro,neutral
asui,negative
tolong fokus dalam memperbaiki bug yang terdapat di dalam game terlebih dahulu,neutral
setiap kali upgrade pasti bertambah besar dan pasti berat harus hapus app lain biar bisa update tolong dong min setiap kali update jangan di tambahin kapasitasnya ujung app ini yg bakalan di hapus,positive
saya lama gak main pubg karena hp saya gak mendukung beli lah hp baru tencent,positive
bugfremm yg sangat parah,neutral
kenapa ya padahal main game nya lancar pas mau gerakin layarnya gak mau gerak knpa ya apa itu masalah device tapi saya kurang tahu tolong di perbaiki,neutral
mengapa stelah diupgred dipusat menejemen sumber daya slalu minta unduh trusdn stlah diunduh ttap tidak mau dibukamhon ptunjuk,positive
aja,positive
maaf saya kasih bntang dlu karana saat saya bermain terkadang terjadi bug mohon di perbaiki tapi sudah baik lahya,positive
bagus sih cuma kadang kadang gak kedengeran stepnya padahal udah ganti headset tapi sama aja,neutral
bintang aja dlu,negative
assalamualaikum kenapa ini game terlalu besar memorinya saya mohon kalu update kasih sedikit memorinya sekian saya assalamualaikum warahmatullahi wabarokatu,negative
kenapa seiring bejalannya waktu sering frame drop dan sangat tidak enak saat di main kan tolong di perbaiki lagi,positive
makin sini bukannya makin maju malah makin gk serukeanehan banyak terjadicheat dimana manaterkadang bug muncul tiba tiba,negative
bagus permainannya,positive
hp ram gerapick hd nya masih belum kebuka bingung tencen harus pake hp ram berapa biar grapick hd nya bisa di pake dari ram masih gk kebuka,negative
bgus,positive
lumayan,positive
lumayan buat nghibur,neutral
aku suka aplikasi ini tapi bisa gak data nya agak turungin soalnya hp saya cuman ram,negative
menahan sakit dengan senyum adalah hal terhebat,positive
gamenya bug padahal baru download udah gak bisa bukanya,positive
kasih aja dlu soalnya livik tdk bisa di download please perbaiki,neutral
cepat diinstal tp gak bisa dibuka kenapa yakmohon penjelasannya dunk mzbroe,positive
gpp gue udah bisa download kok karena riset hp,positive
game serukerenhd tapi banyak bug pemakaian memori terlalu berat boros baterai sama suara step teman lebih keras dari sebelumnya jadi susah membakan teman atau musuh,neutral
kenapa game ini gak ada pintu sih tolong lah cari tukang agar ada pintu,positive
jncuk,positive
please give hit effect in pubg,neutral
game nya bagus sekalitapi sayangnya sering banyak bug yang ngerugiin kalo lagi main,positive
why is it that only updates are handled the bugs are not taken care of for developers want to complain about the bugs experienced by all players and this bug is troubling me and all players and also review the bugs in this game so that our gameplay is more sporty and comfortable and the review of the tier restriction feature is disturbing for all pubg players,negative
buat lu yg suka ngejek game lu bisa buat game gak,positive
halo developer ada yang ingin saya sampai kan yaitu adalah bug bug nya itu berada di ultimate range saat masuk ke laga pertandingan kontrol yang sudah kami terapkan kembali ke pengaturan awal itu membuat saya sangat kecewa mohon di perbaiki terimahkasih,positive
untuk developer tolong kasih grafik yang very low aku yang hp ram lag parah sampai fc mau download low texture pubg takut ke banned padahal game nya seru,positive
menurut saya fari tadi terus gimana si,neutral
tolong perbaiki masalah fps drop yang terjadi pada ponsel oneplus pro,positive
sudah bagus lumayan,positive
pengen main tapi hp kentang,positive
geem nya seru tapi kalok bisa lebih di benerin lagi,neutral
updatenya kok lama yahh,negative
terlalu sering pembaharuan malah bikin game kurang menarik lagi,neutral
update bug,neutral
kenapa pubg sekarang sudah tidak stabil jaringan bagus tapi setiap masuk gams pubg selalu keluar notif batas waktu habis tolong kasih solusinya,negative
kebanyakan update dan suk ngebug gal jelas,negative
kalau update kecil kaya mb suka bikin frame dan fps drop,negative
update mulu tiap gk login jam mana gede lagi mb kurang,neutral
kbanyakan update,neutral
gkfoom,positive
makin kesini player indo jarang di temui melainkan dari negara sebelah mau ituh dari arab atau china kebanyakan,positive
ya rumayan bagus,neutral
bagus,positive
uh,neutral
ciri khas pubg yang sering terjadi pada saat kelamaan di lobby kemudian terjadi kesalahan server dan terpaksa login ulang tapi anehnya pas di game lancar jaya baru menit main hp udah panas padahal grafik udah di setting low semua main pubg hp ram serasa jadi ram mb,neutral
kenapa suka ngestuck pas loading ke matchnya trs ngerender bngt pdhl masih cukup chipset sg realme heran sama updated skrng ini tolong dong pubg mobile atasi segera masalah ini,negative
pensi game inihadiah dr royal pas skin itu aja senjata scarlm kar tidak ada skin dpm skin mobil juga ga ada lagiuda isi uc puluhan buka dapet kupon coin sampahsaya tahu random tapi bnyak tmn yg ga isi uc kok dapet glacier material upgrade ampe nya level saya pemain lama merasa ini game settingan pemain yg isi uc dikurangin hokinya biar isi terus yg ga isi uc hokinya berx lipat,negative
top,positive
sinyal,negative
kasih tiga bintang dulu mudah mudahan setelah di update lebih bagus permainannya,neutral
tolong dong suka ada bug loh masa turun di bawah malahan naik pesawat terus mati ga lucu anj,neutral
kadang ngelek dan akun saya diblokirsaya tidak melakukan kecurangan tapi ikut diblokiritu bukan solusi menurut sayatks,neutral
gamenya bagus cumaa masih ada bug pc di android tolong tencent di perbaiki bug inii,positive
biasah aja,neutral
tensen anjing,positive
dari pemain ff,negative
ei ayolah knp gak bisa di install,negative
gem bagus,positive
ada yang buat saya kecewa di game ini pas kita mati mau nonton tim kita main cuma diam di satu titik dan tidak bergerak sedangkan suara dan langkah kaki nya bisa di dengar kan terkadang kita di panggil untuk kembali malah gak tau posisi kita dimana lihat di maps dalam zona tiba tiba mati sia sia karena ternyata bukan dalam zona,negative
knapa tidak mau di update,positive
bagus game nya,neutral
bintangnya naik ya karena bug sudah diperbaiki tapi tolong dong untuk sistem peti premium kembalikan seperti dulu yang kali draw dijamin mendapatkan legendaris sekarang malah epic jaminannya,negative
sangat bagus,positive
game nya haram tidak paling populer,negative
halo developer yang terhormatini kenapa tidak bisa di download yapadahal ram saya masih gb padahal saya pengen panget main pubg dan saya tidak memakai wifi saya memakai paket itu saja terima kasih developer terhormat,negative
ini masukan untuk pubg mobile penting banget grafis optimalkan lagi hp saya hp spek sangat mencukupi untuk maen ni game agar ga patah patah masalah jaringan ok bagus sangat tapi saat maen lagi perang kadang fps drop saya agak kecewa apa lagi saat tempat ramesangat mengganggu dan satu lagi untuk mact mode fpp kalo ga ada pemain mending ganti ajah sajah ama bot mau di phus percuma selalu ga ada pertandingan nunggu lama lama ga ada pertandingan jangan ngurusin mode tpp ajah tapi arus seimbang,positive
ini kenapa ya sy mau invite teman malah ada pemberitahuan meminta update padahal di playstore saya tdk pemberitahuan update pubgnya saya jd tdk bs mabar sma temen gara error,positive
permain cukut bagussi,neutral
tolong ram nya jangan di naekin masak pas apdet harus ganti hp tolong lebih kecil lagi ram nya,negative
kenapa sekarang pubg ngk bisa mabar sama temen yang kecil atau yang gede tiernya pengen pubg kek dulu bisa mabar tanpa memandang tier,positive
setelah update malah eror di map erangel saya tidak bisa melihat bangunan atau rumah hanya senjata melayang dan bayangan musuh seperti bugdan ketika saya ingin mengambil senjata seperti terhalang tembok yang tidak terlihatkenapa yapa saya harus install ulang,negative
makin ke sini makin menk jadi gimanasih,neutral
gak nge luh lagi we,positive
geme nya bagus dan characte dan bagus dan gerafik nya bagus aku kasi bintang,positive
game yg sangat bagus,positive
tingkatkan lagi fps masih drop,positive
kok setel di donlod data nya ngk ada ya padahal baru aja di donlod dah ngk bisa masuk,neutral
gue saranin pubg buat grafik paling semood biar player hp kentang bisa main tanpa lag,positive
knp gw download dan tiba keriset ulang padahal udah tiba keriset dari dari lagi pada hal jaringan bagus dan kuota banyak dan wifi lanjar tolong penjelasannya,negative
saya beri bintang karna terlalu banyak bug,negative
gk ada lovers,positive
mantap,positive
bagi ku game ini tentu sangat menyenangkan dan dari segi grafik nya sudah lumayan bagus control nya pun mudah untuk di mainkan untuk kedepan nya smoga game ini tambah jauh lebih baik lagi,positive
aplikasinya bagus,negative
gabisa login twitter tolong lahh,negative
pas login awal langsung keluar sendiri server tidak mrespon hem,neutral
lumayan menarik gem nya,neutral
ini game kenapa dah yaa kok sekarang punya aku gagal server terus abis itu download ulang data lagi nunggu lagi sayanunggu sampe hampir semaleman,neutral
game bagus tapi macth nya terlalu lama nunggu jadi bosan,neutral
