content,score,sentiment
rank bronze gold cheat admin,3,1
relog login,1,0
tolong developer pubg mobile update versi terbaru masuk game macet loading restart handphone hapus data pubg masuk gamenya tolong perbaiki,3,1
hadiah royale pass sekeren,3,1
login server gagal masuk main internet aman aman update busuk uninstall game,2,0
game mengesalkan minggu loading resources jalan sinyal bagus penyimpanan handphone,1,0
lumayan tingkatkan,4,2
main pastikan handphone bagus hahaha rusak sayang,1,0
hai keluhan tujuan bermain game mencari hiburan bermain pusing sistem ranked game seakan sulit mencapai rank kemampuan pikir bermain pubg developer bisalah sesuaikan sistem ranked terima kasih,3,1
game anjing sinyal bagus game server menanggapi anjing tencent babi,1,0
mantap kali game koneksinya boros main menghasilkan giga byte hangus,2,0
mikropon kadang berfungsi,3,1
heran sinyalnya main mobile legends bang bang lancar pubg sinyal kecewa,1,0
lumayan bagus,3,1
sinyal banget update,2,0
lumayan bagus,3,1
update bug tolong anjing,3,1
mikropon kadang berfungsi,3,1
login update bos menanggapi jangkrik admin jelek menanggapi,1,0
login tolong periksa admin,3,1
tolong ukuran gamenya,3,1
coba,3,1
pubg serius urus mode metro royale menambah monster misi memperluas peta fitur didalamnya merilis game mode metro royale peminat mode metro royale pubg mobile serius mengharap mode,3,1
asyik game semenjak uninstall game download bagus,4,2
perbarui handphone handphone bagus kasihan,3,1
ok,3,1
update sulit login,2,0
game jelek cheat babi,1,0
bodoh main tdm musuh giliran mati anjing game rusak bodoh update bug urus bodoh,1,0
game haram,1,0
banyaknya bug bermain contohnya spectator bug teman bermain recoil bug terhubung game,3,1
game mantap,5,2
membosankan main pubg pubg ukuran ukuran ringan handphone kentang mainkan pubg ukurannya bug parasut karakin bug event situlah player pubg pensiun pikirkan skin event bug cheat aduh,3,1
kakak tolong sensitivitas pubg handphone oppo,5,2
game ramai bug suara musuh long perbaiki developer,4,2
bagus,3,1
mantap,1,0
bertempur,1,0
bagus pubg,2,0
bintang pubg berat download resource otomatis matikan fitur download pubg mengunduh data layar pakai,3,1
dibuka gamenya batas hapus download dibuka,4,2
gamenya mantap,4,2
player pubg game mati suruh hahaha game lift hahaha game haram muntah lihat game,1,0
main game pubg handphone disita guru sekolah kasih bintang,2,0
mantap,4,2
login twitter semalam server admin,3,1
high definition,1,0
usahakan device menengah bermain berat banget game,3,1
kasih bintang maaf developer bug tolong perbaiki contoh medkit bom bug parasut,3,1
gamenya bagus skin senjata legend skin lobi main,4,2
bagus,2,0
fiturnya bagus turun bug patah patah berlari karakter jatuh eliminasi mohon perbaiki rating bug turun pesawat,4,2
koneksi suka error wifi sinyal coba pakai paket data sinyal lancar,3,1
pusing banyaknya fitur aneh,2,0
bagus wajar bug game online,4,2
menyukai game memainkan mobile legends memainkan game bug handphone mohon optimalkan terima kasih,4,2
kasih bintang grafis game play handphone mendukung game ok rendering bos perbaiki kali terjun pesawat langsung masuk tanah turun pindah terjun didarat air cari loot rumahnya kaya render ok perbaiki bos kasih bintang,2,0
sinyal sinyal bagus,4,2
game download resources manusiawi niat mainkan game,1,0
download banget,5,2
ok tunggu update mode vs kali hadir mode vs player mementingkan tier bermain fun terima kasih,5,2
game buruk,4,2
aneh download dimainkan disuruh download data obb mega byte aplikasi developer,3,1
main pubg berat sinyal sulit bug,3,1
game bagus,3,1
halo admin update pubg unstable network berulang kali mengikuti petunjuk arahkan untable network mohon perbaiki bug network,3,1
lambat dasar game babi,1,0
ok,5,2
game banyakkan bug,1,0
anjing,1,0
bagus,5,2
bintang,3,1
bot,1,0
merasakan pubg mobile cacat,3,1
bagus,4,2
main bug minat player berkurang,3,1
tolong kembalikan akun pubg banned biar ramai,5,2
game anjing,1,0
developer saran grafis pubg mobile kembalikan grafis pubg bagus bermain pubg pakai handphone lancar patah patah grafis pubg beda musim sekian terima kasih,3,1
download banget,1,0
game pubg mobile bug cheat pubg sumber bug cheer park,3,1
okelah,3,1
pubg pubg,4,2
mencoba lihat bagusan pubg free fire bintang,3,1
pubg kasih bintang tencent bijak,4,2
tolong developer game tolong perbaiki permasalahan akun contoh asyik asyik main suruh login ulang sinyal bagus tolong perbaiki,3,1
habis data unduh barang,1,0
force tutup asyik turun device realme pro,3,1
anjing,1,0
tolong fokus memperbaiki bug game,3,1
kali upgrade bertambah berat hapus aplikasi biar update tolong admin kali update tambahkan kapasitasnya ujung aplikasi hapus,4,2
main pubg handphone mendukung beli handphone tencent,5,2
bug frame parah,3,1
main game lancar gerakkan layarnya gerak device tolong perbaiki,3,1
upgrade dipusat mengelola sumber daya unduh diunduh buka mohon petunjuk,4,2
maaf kasih bintang bermain terkadang bug mohon perbaiki,4,2
bagus kadang kadang terdengarnya stepnya ganti headset,3,1
bintang,1,0
game memori mohon update kasih memori sekian,1,0
seiring berjalannya frame drop enak main tolong perbaiki,4,2
maju seru keanehan cheat dimana terkadang bug muncul,2,0
bagus permainannya,5,2
handphone grafis high definition kebuka bingung tencent pakai handphone biar grafis high definition pakai kebuka,2,0
bagus,4,2
lumayan,4,2
lumayan menghibur,3,1
suka aplikasi data turunkan handphone,1,0
menahan sakit senyum terhebat,4,2
gamenya bug download bukanya,4,2
kasih livik download tolong perbaiki,3,1
cepat install dibuka mohon penjelasannya,5,2
download riset handphone,5,2
game seru keren high definition bug pemakaian memori berat boros baterai suara step teman keras sulit bug teman musuh,3,1
game pintu tolong cari tukang pintu,5,2
anjing,4,2
tolong give hit efek pubg,3,1
game bagus sayangnya bug merugikan main,4,2
update handled bug taken care developer want mengeluh bug pengalaman player bug troubling player also review bug game gameplay sporty comfortable review tier restriction fitur disturbing pubg player,1,0
suka mengejek game game,5,2
halo developer bug bug ultimate rank masuk laga pertandingan kontrol terapkan pengaturan kecewa mohon perbaiki terima kasih,5,2
developer tolong kasih grafis low handphone lag parah download low tekstur pubg takut banned game seru,4,2
tolong perbaiki fps drop ponsel one plus pro,4,2
bagus lumayan,5,2
main handphone kentang,5,2
game seru benarkan,3,1
update,2,0
pembaharuan game menarik,3,1
update bug,3,1
pubg stabil sinyal bagus masuk game pubg notifikasi batas habis tolong kasih solusinya,1,0
banyakkan update suka bug,1,0
update kaya mega byte suka frame fps drop,2,0
update login jam mega byte,3,1
banyakkan update,3,1
performa,5,2
player indonesia jarang temui negara sebelah arab cina banyakkan,4,2
lumayan bagus,3,1
bagus,5,2
ciri khas pubg lobi kesalahan server paksa login ulang anehnya game lancar jaya menit main handphone panas grafis pengaturan low main pubg handphone mega byte,3,1
suka macet loading match rendering banget chipset shotgun realme heran update tolong pubg mobile atasi,2,0
pensiun game hadiah royale skin senjata senjata kar skin dp skin mobil isi uc puluhan buka kupon koin sampah random teman isi uc glacier material upgrade level pemain game pengaturan pemain isi uc kurangkan hokinya biar isi isi uc hokinya lipat,1,0
top,5,2
sinyal,1,0
kasih bintang mudah mudahan update bagus permainannya,3,1
tolong suka bug turun pesawat mati lucu anjing,3,1
kadang lag akun diblokir kecurangan diblokir solusi terima kasih,3,1
gamenya bagus bug android tolong tencent perbaiki bug,4,2
tencent anjing,5,2
pemain free fire,1,0
ayolah install,2,0
game bagus,5,2
kecewa game mati tonton tim main diam titik bergerak suara langkah kaki dengar terkadang panggil posisi dimana lihat peta zona mati zona,2,0
update,4,2
bagus game,3,1
bintangnya bug diperbaiki tolong sistem peti premium kembalikan kali draw dijamin legendaris epik jaminannya,2,0
bagus,5,2
game haram populer,1,0
halo developer terhormat download ya giga byte banget main pubg memakai wifi memakai paket terima kasih developer terhormat,2,0
masukan pubg mobile banget grafis optimalkan handphone handphone spesifikasi mencukupi main game patah patah sinyal ok bagus main perang kadang fps drop kecewa ramai mengganggu match mode fpp pemain ganti bot push pertandingan menunggu pertandingan mengurus mode tpp arus seimbang,5,2
invite teman pemberitahuan update play store pemberitahuan update pubg mobile main bareng teman gara error,4,2
permain bagus,3,1
tolong naikkan masak update ganti handphone tolong,2,0
pubg main bareng teman tiernya pubg main bareng memandang tier,5,2
update error peta erangel bangunan rumah senjata melayang bayangan musuh bug mengambil senjata terhalang tembok install ulang,2,0
jelek,3,1
game bagus karakter bagus grafis bagus kasih bintang,4,2
game bagus,4,2
tingkatkan fps drop,5,2
setel download data download masuk,3,1
sarankan pubg grafis smooth biar player handphone kentang main lag,4,2
download keriset ulang keriset sinyal bagus kuota wifi lancar tolong penjelasannya,2,0
bintang bug,1,0
cinta,4,2
mantap,5,2
game senang segi grafis lumayan bagus kontrol mudah mainkan kedepan semoga game,4,2
aplikasinya bagus,2,0
login twitter tolong,2,0
login langsung server menanggapi hemat,3,1
lumayan menarik game,3,1
game gagal server habis download ulang data menunggu tunggu semalam,3,1
game bagus match menunggu bosan,3,1
game haram jelek teman teman main free fire grafis buruk ultra cerah kaya pubg game keren anak free fire bos game haram game anjing sepi haram paket lengkap hapus pubg play store,1,0
ok,4,2
update,3,1
wow,5,2
game lag sial,1,0
permasalahan kaya performa,3,1
game bagus lemah hack mudahnya bermain game mobile koreksi sensitivitas tombolnya berubah diwaktu lelah menyusun ulang sesuai,2,0
krafton update sinyal stabil wifi lancar main game lancar,3,1
gila melaporkan cheat banned main murni banned pass cheat banned giliran melaporkan cheat banned lawak,1,0
menghibur,3,1
bug jalan lompat rumah,2,0
isi royale pass senjata senjata akm skin pesawat lelah tencent isi royale pass musim,3,1
bagus skinnya usahakan gratiskan,3,1
download game mega byte masuk download datanya mega byte mega byte ya pilih ringan selesai pulsa langsung habis bangsat game bro,2,0
lag parah ketemu lawan rush turun mobil enak banget lambat terima kasih,3,1
permisi match masuk masuk menit,2,0
seru pakai banget,3,1
game menghibur bertengkar,3,1
login akun facebook,1,0
tolong adakan fitur banned bersembunyi happy birthday kesal mati bokong,4,2
anniversary bug kadang nomor urut musuh jarak pandang bug pakai game berat handphoneku aman pubg kali bug,3,1
pengguna snapdragon grafis high definition grafis high definition tolong grafiknya high definition terima kasih,3,1
game bagus banned download grafis bagus bagus,4,2
musuh seimbang tier platinum jumpa tier ace kasih musuh tier biar seimbang,1,0
gacha admin kemarin habis komentar gacha bantuan sosial benarkan,5,2
suka,5,2
lag,4,2
main patah patah berbaiki haram,3,1
aneh sinyalku bagus gagal masuk server akunku bagus kembalikan mohon perbaiki,3,1
memulihkan bug suara kendaraan,1,0
bagus,2,0
hai babi server anjing login,1,0
bagus,5,2
ok,3,1
bagus game,3,1
bagusan tencent,2,0
kurangi bug,3,1
menghibur,3,1
lumayan,3,1
gamenya enak main handphone gara gara game gamenya diblokir,1,0
game rusak pensiun main gara gara isinya penuh bug bug scope bug mikropon bug bug event uruskan bug fixed,1,0
bug,2,0
kasih rating bug bug mati suka gerak tonton teman tolong perbaiki kasih bintang,3,1
mantap main karakin rudal ratakan peta,5,2
update jalan sinyal bagus,3,1
ok,3,1
gamenya bagus bug mohon perbaiki bugnya segi grafis gameplaynya bagus bug rank,3,1
game haram mengunduh game haram,1,0
habis update masuk tolong,3,1
menampilkan start regional,1,0
masuk babi bro,1,0
bug cheat sinyal bermasalah,2,0
bagus,2,0
obb suruh download,2,0
tolong perbaiki bugnya main sungainya airnya,3,1
kali update buruk bug lag masuk pertemuan player sulit sulit baiknya benarkan bug mengalami bug merugikan developer terhormat terima kasih,3,1
update poco fps admin pro,4,2
game rusak bug perbaiki krafton,2,0
pubg bagus,4,2
mencoba,3,1
orang bersembunyi jelek,3,1
download coba kali mengunduh salah coba kasih bintang mengunduh kasih bintang ok,2,0
jalan tunggu jalan tolong perbaiki,3,1
bagus sayang cheat berkeliaran atasi krafton malas main orang malas main gara cheat,3,1
bagus,5,2
berat,3,1
habis update data game download ulang tolong perbaiki,2,0
admin update perbaiki sinyal bagus lancar update macet pindah game perbaiki admin edit kali lumayan gameplay game sebelah pubg game sebelah contohnya terjun pakai skateboard,4,2
disconnect,5,2
bagus ambil senjata mohon perbaiki,2,0
bagus,5,2
nice try play game anymore never cause game crash game,1,0
disuruh izin akses media izinkan kebuka pubg jelek banget,2,0
menangis banget storage bersihkan,3,1
skin ringan game handphone meledak kemarin nyaman banget,5,2
jarak meter musuh lompat lompat lag squad lompat lag aneh,3,1
good game,5,2
orang beli iphone tersiksa main pubg musim bertambah,3,1
bagus game,3,1
update bug cheat tangani frame drop benarkan semoga update perbaiki,3,1
mantap game,4,2
tolong developer hilangkan bug minimal bug turun pesawat rumahnya bug pakai android tolong,2,0
bagus game,5,2
bagus,3,1
mantap kaya,4,2
memori bro update,4,2
bagus enak mainnya ok pubg,5,2
top,2,0
masuk game,3,1
suka game terjun pesawat bug kasih bintang perbaiki kasih bintang,3,1
mantap game tolong mendukung processor mediatek biar frame sulit,5,2
sekian login login item royale pass kumpulkan hilang dirugikan pubg menghabiskan uang royale pass pubg,1,0
halo tolong perbaiki bug bug klasik terkadang bug bug peluru mode tdm sinyal bagus bug permainan mode matchmaking tolong perbaiki update kolaborasi pentingkan tolong kesadarannya,3,1
suka game,5,2
bagus banget,4,2
game jelek game haram bro,3,1
jarang hoki,5,2
poco pro force tutup,3,1
kecewa game pubg dimainkan koneksi facebook masuk facebook otorisasi dibatalkan,2,0
tolong perbaiki sinyal kadang masuk kadang masuk kasih bintang,3,1
suka game pubg handphone setan update bug suara tembakkan musuh terdengar taping terdengar langsung knock tolong solusinya,3,1
developer mohon meningkatkan keamanan game cheat resah pemain lolos pengawasan sistem anti cheat,2,0
game babi senjata,1,0
game lumayan bagus sayangnya cheat pakai cheat tolong diban,3,1
grafis bagus pintu sakit mata terima kasih pubg pengalaman berperang bagus sakit mata terima kasih pubg,5,2
mantap,3,1
minat coba download ambil contoh mobile legend update peminat mobile legend minat bro minat coba jadikan pubg game merakyat,2,0
verifikasi langkah sulit login nomor telepon tautkan hilang sulit kode kode kirim gmail akses gmail mohon costumer service bantu memecahkan,2,0
game seru anjing,5,2
coba pubg mode one biar kemampuan mode vs miramar biar ramai,4,2
bagus banget,4,2
mega byte handphone memori giga byte macet kasihan,3,1
game tolong kasih masuk login pemain habis mainkan login habis tolong halo pubg habis update sulit main lag grafisnya cacat mohon bantuan maaf pubg habis update buka mohon bantu,3,1
tolong perbaiki server game bagus server tolong cepat betulkan pemain memainkan game lancar,3,1
bug,2,0
bosan,5,2
kasih bintang game download datanya,3,1
buruk game haram free fire haram,1,0
pubg step suaranya peta merah pudar musuhnya step kali,4,2
game keren,5,2
event piramida,3,1
nyaman pubg,2,0
pubg rating,3,1
bagus,5,2
bagus,5,2
koneksi suka error wifi sinyal coba pakai paket data sinyal lancar,3,1
haram bro,1,0
update bagus tembak musuh langsung matii,3,1
game bug mobil,2,0
permainan bagus,4,2
sedih sebagus,2,0
update frame drop,1,0
upgrade upgrade habis kuota,2,0
unbind dipersulit buru hilang akun melepas platform harap dipercepat menunggu unbind,1,0
toleransi,4,2
sinyal bagus admin overall ok handphone mid range,4,2
orang akun gara akun kena banned tuduh cheat main teman menunggu game coba atur bedakan cheat hebat laporan cheat hebat tuduh cheat aneh,1,0
kadang data macet kakak tolong sesuaikan,2,0
pubg diperbaiki grafisnya patah dibaguskan,3,1
halo pubg tolong akun,4,2
bagus,3,1
ok,4,2
lag,3,1
suka lag seru pubg admin,3,1
minusnya update download ulang peta skin baju skin senjata,2,0
admin tolong turunkan mega byte main patah patah,3,1
pemain free fire hebatnya main free fire pubg pubg game haram free fire game grafis buruk,4,2
bagus menarik,3,1
bug meresahkan sinyal maaf bintang,3,1
bagus luck,4,2
ok,5,2
mainkan game download datanya handphone giga byte tolong pubg mobile perkecil datanya terima kasih,3,1
masuk game bug download kali download game,3,1
game bagus gila tolong game berat lag frame cheat,2,0
game bagus sulit bintang,4,2
menyengsarakan,1,0
game bug dunia,1,0
game teaming teaming banned,1,0
handphone lag parah pakai handphone lag,5,2
tolong perkecil ukuran sumber daya,5,2
mantap,4,2
kontrol mudah riset nice try krafton,1,0
mohon maaf kasar suara chat diperbolehkan kasar gameplay tersinggung bicara player,3,1
pubg berat banget diram berat mohon ringan biar nyaman mainnya,3,1
perbaiki menimbulkan versi pubg berat dijalankan memainkan game handphone xiaomi redmi lancar game berat jalankan lag drop fps bertemu musuh,3,1
keren,5,2
loading banget jelek,4,2
bagus keren,3,1
kasih saran tombol tunduk opsi tekan tahan mudah mudahan pembaruan terima,5,2
bug suara kendaraan step senjata mobil dengar tolong perbaiki,1,0
masukan pubg mobile banget grafis optimalkan handphone handphone spesifikasi mencukupi main game patah patah sinyal ok bagus main perang kadang fps drop kecewa ramai mengganggu match mode fpp pemain ganti bot push pertandingan menunggu pertandingan mengurus mode tpp arus seimbang,5,2
tombol update,3,1
tabrak musuh knock mati keseringan musuh mental anehlah kali kaya,1,0
game bagus bug masuk mobil mobil tombol lari hilang kadang kontrol view berubah sebelah kanan,3,1
lag bug gagal terhubung sinyal tolong developer mohon perbaiki pasal koneksi salam musim,2,0
bug arena tolong perbaiki,4,2
kasih bintang game update berat mainkan handphone,2,0
game bagus bug tolong dihapus semoga sukses,5,2
masuk gamenya,3,1
game enak dimainkan game grafis buruk bernama gratis tembak free fire berat patah patah handphone jadul anjing,5,2
maaf kasih bintang,3,1
game bodoh,5,2
sadari game sepi indonesia,5,2
game seru tolong developer mega byte kecilkan kasihan handphone low budget,3,1
ukuran game biar orang suka kuberi bintang ukuran bintang ok,4,2
mantap,3,1
game masuk akal masak tier bronze kasih lawan tier diamond keatas game bodoh,1,0
tolong perbaiki bug damage merugikan musuhnya mati pubg,3,1
terhormat developer pubg mobile memantau perkebangan terkait isu bug didalam game terjun pesawat kali mengalami namanya parasut berputar lompat pesawat kali didaratan bug mengalami sembunyi dibalik tembok lawan semoga update kali perkembangan bagus performa bermain terima kasih,3,1
bug penyimpan,4,2
sombong tangani,1,0
download obb service kiamat,3,1
kasih bintang lihat teman main mati selala macet sinyal bagus,3,1
game seru,3,1
tolong tencent baca pesan player coba pisahkan bot player tim lelah banget main solo squad squad,1,0
tandingnya banget menunggu,1,0
turun kontainer senjata keliling,3,1
halo tencent krafton bug permasalahan mengembalikan erangel erangel segi grafis detail nyata erangel grafiknya suka karenakan detail asli nyata realistis airnya refleksinya biru refleksinya lihat bagus tunggu perbaikannya salam player old pubg mobile,3,1
admin bagus sinyalku bug habis recall livik,3,1
mohon bug perbaiki bagus data update,3,1
tolong lobi perbaiki sinyalnya game lancar lobi putar,3,1
lumayan,4,2
pubg menu utama handphone pubg disuruh download ulang download ulang buang buang paket data,3,1
bug,2,0
metro royale buka,3,1
halo mengeluh game pubg mobile hirau percaya game tenang,2,0
tolong perbaiki banyakkan bug turun pesawat,2,0
game elit sinyal sulit,2,0
bug,3,1
main bug lag marah,1,0
anjing handphone langsung freeze,4,2
bilang rindu musim,5,2
coba main update berat berhenti mainkan pubg,4,2
bug peta mode peta peta rusak,4,2
banyakkan skin kocak banyakkan plagiat skin free fire aplikasi khusus pubg skin rilis pubg mobile game mati,1,0
bug render sinyal,3,1
death pubg mobile,5,2
game,2,0
pengguna aplikasi modifikasi badan warna tolong fixed banned device,3,1
sedot kuota,2,0
developer habiskan kuota main game download masuk download play store download teraman developer suka menyulitkan player bagus sinyal mega byte second lag kasih start game menyulitkan,1,0
bagus,4,2
game merugikan upgrade menghabiskan kuota sinyal lambat pindah game tiada maaf,2,0
bagus,3,1
game,1,0
developer tolong fokus koneksi wifi memakai wifi bagus lag menit mohon fokus koneksi bagus resolusi memukau,3,1
developer tolong perbaiki bug tolong keamanan banned perbaiki cheat anjing,2,0
pubg main frame kadang turun device kelas bug livik tolong banned cheat rank ace player bermain curang menginstall plug alat bantu modifikasi sekian terima kasih,4,2
login dipersulit menunggu detik sinyal mega byte second game,3,1
kaya,5,2
tolong suka bug turun pesawat mati lucu anjing,3,1
suka,4,2
kentang,3,1
suka aplikasinya kemarin tanggal maret handphone main pubg akun kena hack orang lemas malas main pubg,3,1
update lag tolong perbaiki bug uninstall lag bug nyaman main,3,1
server error fps turun,2,0
game haram,1,0
bagus,4,2
bug tdm main rank,2,0
mantap,2,0
spray sulit,4,2
game bagus haram game haram,2,0
game survival,3,1
game keren,4,2
mantap,4,2
bagus game bergairah,3,1
frame admin,2,0
game seru kurangi bug memori penuh bug tolong perbaiki sekian terima kasih,3,1
