content,polarity,label
keren banget kusuka,0.2,positive
pubg haram,0.0,neutral
game rusak download directly base tire game rusak event though nice try use cheat hard grafis elit tires,-0.2229166666666667,negative
malas,-0.25,negative
haruskah memperbarui,0.0,neutral
mohon maaf bermain cheat tolong banned,-0.5,negative
login,0.0,neutral
bug tolong perbaiki,0.0,neutral
pubg kaya versi kemarin sinyal bagus kadang lag mainkan kaya versi lancar banget semoga versi lancar,0.47400000000000003,positive
gamenya seru zona livik cepat tolong koreksi,0.033333333333333326,positive
bug game pubg ayolah perbaiki malas rank turun gara bug meresahkan,-0.4833333333333334,negative
pubg mobile terbaik,1.0,positive
maaf admin rating bugnya meresahkan bug langkah kaki musuh suara tembakkan turun pesawat harap pemeliharaan admin oh perang sinyalnya turun terima kasih admin semoga baca,-0.27037037037037037,negative
game jelek,-0.5499999999999999,negative
pubg suka menghina free fire suka,0.4,positive
uninstall helio main pubg patah,-0.4,negative
asyik,0.3,positive
game bagus,0.14999999999999997,positive
bermain game main,0.0,neutral
ok,0.5,positive
tolong main erangel peta rendering tolong perbaiki bugnya,0.0,neutral
seru musim musim,0.3,positive
bug sinyal kurangi bintang,0.0,neutral
step lawan kedengar muncul peta,0.4,positive
mantap,0.16666666666666666,positive
aplikasi download,0.0,neutral
terbaik main game pubg,1.0,positive
bagus kakak sayang senjatanya,0.7,positive
update kasihan handphone kentang,0.0,neutral
bug mode arena tim death match karakter muncul peluru,0.0,neutral
bug karakter tersandung bug step mini peta step teman step musuh tolong bug bug diperbaiki kasihan player main,-0.4,negative
banyakkan bug bodoh pubg main free fire handphone bug game bodoh,-0.3999999999999999,negative
ok,0.5,positive
hemat,0.3,positive
banyakkan event,0.0,neutral
ok,0.5,positive
pubg bingung pubg kenal dimana game indah soon nyaman tertawa lepas orang random toxic main fun intinya suka pubg terima kasih pubg mobile,0.04374999999999999,positive
game bug anjing,-0.4,negative
game bagus banget suka bermain game,0.14999999999999997,positive
bintang update,0.0,neutral
semenjak pegang krafton bug keren krafton merusak game,-0.025000000000000022,negative
bug freeze,0.0,neutral
coba suka main ringan,0.4,positive
ace master,0.0,neutral
permasalahan kaya performa,0.375,positive
tolong cheatnya hilangkan rugikan,0.0,neutral
give pubg mobile ringan,0.4,positive
bug temui game awm hit tembakkan mikropon bug menyala misi royale pass error bug minimalisir tambahkan update gagal ekstraksi restart handphone restart handphone hasilnya download data giga byte main error aplikasinya aduh,-0.14444444444444446,negative
game bagus bagus kali download pubg posisi paket sekarat paket tinggal mega byte game download hentikan paket habis menit beli paket lihat ulang enak,0.14999999999999997,positive
itukan permainan laki laki perempuan download permainan pegang bintangnya muncul aneh,-0.2833333333333334,negative
sinyal lag role mengecewakan update,-0.6,negative
game seru grafis main game tegang subscribe channel bro,-0.20833333333333334,negative
maaf admin fitur meminimalisir resource click bait pasalnya mengunduh low memori pack data game tembus giga byte mengunduh peta resource bug bug coba perbaiki ditunggu next update,-0.16666666666666666,negative
seru gamenya,-0.4,negative
dear tencent segi permainan bagus segi hokinya tolong ringankan,0.55,positive
masuk,0.0,neutral
game buruk lag hapus game,-0.5499999999999999,negative
pubg jelek,-0.7,negative
turun pesat rumah rumah utuh habis terjun payung menunggu detik rumah rumah,-0.15555555555555559,negative
lag sinyalnya bagus,0.7,positive
takut download admin bug,-0.6,negative
pubg bug,0.0,neutral
pubg mobile servernya perhatikan login lobi sinyal game sinyal enak update sinyal server mohon perhatikan,-0.4,negative
sinyal sinyal semenjak update,0.0,neutral
game bagus sayangnya bug merugikan main,-0.0666666666666667,negative
update download skin pakaiannya high definition otomatis download penyimpan handphone tolong ubah lag lag boros habiskan kouta sulit beli kouta,-0.16999999999999998,negative
bagus game,0.14999999999999997,positive
bug main permintaan habis buka aplikasinya enak versi,0.08333333333333333,positive
game haram,-0.4,negative
pubg mobile servernya perhatikan login lobi sinyal game sinyal enak update sinyal server mohon perhatikan,-0.4,negative
peta download main erangel putih bangunan masak main livik,0.05555555555555555,positive
kurangi bug,0.0,neutral
cobalah main handphone temanku game pubg seru banget bicarakan gamenya seru pubg go go winner winner chicken dinner,-0.275,negative
coba,0.0,neutral
bagus,0.7,positive
game bagus,0.14999999999999997,positive
tencent tolong kembalikan chess rush nyaman game,0.0,neutral
bagus,0.7,positive
suka permainan,0.0,neutral
nice try know bagus game online,0.29999999999999993,positive
cocok mainkan,0.55,positive
update bagus buruk bug rumah batu karakter tembus tanah suara reset sinyal memburuk tolong perbaiki versi pemain nyaman memainkannya,0.55,positive
update error pakai wifi,0.0,neutral
jawabannya perasaan main pubg lakukan sepi berat masak gara gara game ganti ganti handphone,-0.2,negative
perbaiki sinyal admin,0.0,neutral
senang,0.8,positive
game rusak player jaringannya stabil pertempuran masuk lawan peta,0.0,neutral
fornite pubg,0.0,neutral
game bagus tolong bug hapus biar enak main,0.4333333333333333,positive
game haram,-0.4,negative
rank bronze gold cheat admin,-0.8,negative
relog login,0.0,neutral
tolong developer pubg mobile update versi terbaru masuk game macet loading restart handphone hapus data pubg masuk gamenya tolong perbaiki,-0.10000000000000002,negative
hadiah royale pass sekeren,0.0,neutral
login server gagal masuk main internet aman aman update busuk uninstall game,0.024999999999999994,positive
game mengesalkan minggu loading resources jalan sinyal bagus penyimpanan handphone,0.725,positive
lumayan tingkatkan,0.125,positive
main pastikan handphone bagus hahaha rusak sayang,0.24999999999999997,positive
hai keluhan tujuan bermain game mencari hiburan bermain pusing sistem ranked game seakan sulit mencapai rank kemampuan pikir bermain pubg developer bisalah sesuaikan sistem ranked terima kasih,-0.5666666666666668,negative
game anjing sinyal bagus game server menanggapi anjing tencent babi,-0.03333333333333336,negative
mantap kali game koneksinya boros main menghasilkan giga byte hangus,-0.11666666666666668,negative
mikropon kadang berfungsi,0.0,neutral
heran sinyalnya main mobile legends bang bang lancar pubg sinyal kecewa,-0.175,negative
lumayan bagus,0.475,positive
sinyal banget update,0.2,positive
lumayan bagus,0.475,positive
update bug tolong anjing,0.0,neutral
mikropon kadang berfungsi,0.0,neutral
login update bos menanggapi jangkrik admin jelek menanggapi,-0.6999999999999998,negative
login tolong periksa admin,0.0,neutral
tolong ukuran gamenya,-0.4,negative
coba,0.0,neutral
pubg serius urus mode metro royale menambah monster misi memperluas peta fitur didalamnya merilis game mode metro royale peminat mode metro royale pubg mobile serius mengharap mode,-0.35555555555555557,negative
asyik game semenjak uninstall game download bagus,-0.16666666666666666,negative
perbarui handphone handphone bagus kasihan,-0.03333333333333336,negative
ok,0.5,positive
update sulit login,-0.5,negative
game jelek cheat babi,-0.5499999999999999,negative
bodoh main tdm musuh giliran mati anjing game rusak bodoh update bug urus bodoh,-0.7999999999999999,negative
game haram,-0.4,negative
banyaknya bug bermain contohnya spectator bug teman bermain recoil bug terhubung game,0.0,neutral
game mantap,-0.11666666666666668,negative
membosankan main pubg pubg ukuran ukuran ringan handphone kentang mainkan pubg ukurannya bug parasut karakin bug event situlah player pubg pensiun pikirkan skin event bug cheat aduh,-0.3,negative
kakak tolong sensitivitas pubg handphone oppo,0.0,neutral
game ramai bug suara musuh long perbaiki developer,0.17500000000000002,positive
bagus,0.7,positive
mantap,0.16666666666666666,positive
bertempur,0.0,neutral
bagus pubg,0.7,positive
bintang pubg berat download resource otomatis matikan fitur download pubg mengunduh data layar pakai,-0.2,negative
dibuka gamenya batas hapus download dibuka,0.0,neutral
gamenya mantap,0.2,positive
player pubg game mati suruh hahaha game lift hahaha game haram muntah lihat game,-0.19999999999999998,negative
main game pubg handphone disita guru sekolah kasih bintang,0.5,positive
mantap,0.16666666666666666,positive
login twitter semalam server admin,0.0,neutral
high definition,0.16,positive
usahakan device menengah bermain berat banget game,-0.2,negative
kasih bintang maaf developer bug tolong perbaiki contoh medkit bom bug parasut,0.0,neutral
gamenya bagus skin senjata legend skin lobi main,0.14999999999999997,positive
bagus,0.7,positive
fiturnya bagus turun bug patah patah berlari karakter jatuh eliminasi mohon perbaiki rating bug turun pesawat,-0.06388888888888891,negative
koneksi suka error wifi sinyal coba pakai paket data sinyal lancar,0.4,positive
pusing banyaknya fitur aneh,0.225,positive
bagus wajar bug game online,0.44999999999999996,positive
menyukai game memainkan mobile legends memainkan game bug handphone mohon optimalkan terima kasih,0.09999999999999998,positive
kasih bintang grafis game play handphone mendukung game ok rendering bos perbaiki kali terjun pesawat langsung masuk tanah turun pindah terjun didarat air cari loot rumahnya kaya render ok perbaiki bos kasih bintang,0.16249999999999998,positive
sinyal sinyal bagus,0.7,positive
game download resources manusiawi niat mainkan game,-0.2,negative
download banget,0.2,positive
ok tunggu update mode vs kali hadir mode vs player mementingkan tier bermain fun terima kasih,0.5,positive
game buruk,-0.5499999999999999,negative
aneh download dimainkan disuruh download data obb mega byte aplikasi developer,-0.05,negative
main pubg berat sinyal sulit bug,-0.35,negative
game bagus,0.14999999999999997,positive
halo admin update pubg unstable network berulang kali mengikuti petunjuk arahkan untable network mohon perbaiki bug network,0.0,neutral
lambat dasar game babi,-0.30000000000000004,negative
ok,0.5,positive
game banyakkan bug,-0.4,negative
anjing,0.0,neutral
bagus,0.7,positive
bintang,0.0,neutral
bot,0.0,neutral
merasakan pubg mobile cacat,-0.2,negative
bagus,0.7,positive
main bug minat player berkurang,0.0,neutral
tolong kembalikan akun pubg banned biar ramai,0.0,neutral
game anjing,-0.4,negative
developer saran grafis pubg mobile kembalikan grafis pubg bagus bermain pubg pakai handphone lancar patah patah grafis pubg beda musim sekian terima kasih,0.059999999999999984,positive
download banget,0.2,positive
game pubg mobile bug cheat pubg sumber bug cheer park,-0.4,negative
okelah,0.5,positive
pubg pubg,0.0,neutral
mencoba lihat bagusan pubg free fire bintang,0.4,positive
pubg kasih bintang tencent bijak,0.7,positive
tolong developer game tolong perbaiki permasalahan akun contoh asyik asyik main suruh login ulang sinyal bagus tolong perbaiki,0.4333333333333333,positive
habis data unduh barang,0.0,neutral
force tutup asyik turun device realme pro,0.0722222222222222,positive
anjing,0.0,neutral
tolong fokus memperbaiki bug game,-0.4,negative
kali upgrade bertambah berat hapus aplikasi biar update tolong admin kali update tambahkan kapasitasnya ujung aplikasi hapus,0.0,neutral
main pubg handphone mendukung beli handphone tencent,0.0,neutral
bug frame parah,0.0,neutral
main game lancar gerakkan layarnya gerak device tolong perbaiki,0.0,neutral
upgrade dipusat mengelola sumber daya unduh diunduh buka mohon petunjuk,-0.05,negative
maaf kasih bintang bermain terkadang bug mohon perbaiki,0.0,neutral
bagus kadang kadang terdengarnya stepnya ganti headset,0.7,positive
bintang,0.0,neutral
game memori mohon update kasih memori sekian,0.35,positive
seiring berjalannya frame drop enak main tolong perbaiki,1.0,positive
maju seru keanehan cheat dimana terkadang bug muncul,0.4,positive
bagus permainannya,0.14999999999999997,positive
handphone grafis high definition kebuka bingung tencent pakai handphone biar grafis high definition pakai kebuka,-0.016000000000000004,negative
bagus,0.7,positive
lumayan,0.2,positive
lumayan menghibur,0.375,positive
suka aplikasi data turunkan handphone,0.0,neutral
menahan sakit senyum terhebat,0.65,positive
gamenya bug download bukanya,-0.4,negative
kasih livik download tolong perbaiki,0.0,neutral
cepat install dibuka mohon penjelasannya,0.16666666666666666,positive
download riset handphone,0.0,neutral
game seru keren high definition bug pemakaian memori berat boros baterai suara step teman keras sulit bug teman musuh,0.04199999999999998,positive
game pintu tolong cari tukang pintu,0.0,neutral
anjing,0.0,neutral
tolong give hit efek pubg,0.0,neutral
game bagus sayangnya bug merugikan main,-0.0666666666666667,negative
update handled bug taken care developer want mengeluh bug pengalaman player bug troubling player also review bug game gameplay sporty comfortable review tier restriction fitur disturbing pubg player,-0.17500000000000002,negative
suka mengejek game game,-0.4,negative
halo developer bug bug ultimate rank masuk laga pertandingan kontrol terapkan pengaturan kecewa mohon perbaiki terima kasih,-0.5166666666666667,negative
developer tolong kasih grafis low handphone lag parah download low tekstur pubg takut banned game seru,-0.075,negative
tolong perbaiki fps drop ponsel one plus pro,0.0,neutral
bagus lumayan,0.7,positive
main handphone kentang,0.0,neutral
game seru benarkan,0.2928571428571428,positive
update,0.0,neutral
pembaharuan game menarik,0.04999999999999999,positive
update bug,0.0,neutral
pubg stabil sinyal bagus masuk game pubg notifikasi batas habis tolong kasih solusinya,0.14999999999999997,positive
banyakkan update suka bug,0.0,neutral
update kaya mega byte suka frame fps drop,0.375,positive
update login jam mega byte,0.0,neutral
banyakkan update,0.0,neutral
performa,0.0,neutral
player indonesia jarang temui negara sebelah arab cina banyakkan,0.15,positive
lumayan bagus,0.475,positive
bagus,0.7,positive
ciri khas pubg lobi kesalahan server paksa login ulang anehnya game lancar jaya menit main handphone panas grafis pengaturan low main pubg handphone mega byte,-0.012499999999999997,negative
suka macet loading match rendering banget chipset shotgun realme heran update tolong pubg mobile atasi,0.15000000000000002,positive
pensiun game hadiah royale skin senjata senjata kar skin dp skin mobil isi uc puluhan buka kupon koin sampah random teman isi uc glacier material upgrade level pemain game pengaturan pemain isi uc kurangkan hokinya biar isi isi uc hokinya lipat,-0.325,negative
top,0.5,positive
sinyal,0.0,neutral
kasih bintang mudah mudahan update bagus permainannya,0.26666666666666666,positive
tolong suka bug turun pesawat mati lucu anjing,0.04814814814814813,positive
kadang lag akun diblokir kecurangan diblokir solusi terima kasih,0.0,neutral
gamenya bagus bug android tolong tencent perbaiki bug,0.14999999999999997,positive
tencent anjing,0.0,neutral
pemain free fire,0.4,positive
ayolah install,0.0,neutral
game bagus,0.14999999999999997,positive
kecewa game mati tonton tim main diam titik bergerak suara langkah kaki dengar terkadang panggil posisi dimana lihat peta zona mati zona,-0.44999999999999996,negative
update,0.0,neutral
bagus game,0.14999999999999997,positive
bintangnya bug diperbaiki tolong sistem peti premium kembalikan kali draw dijamin legendaris epik jaminannya,0.55,positive
bagus,0.7,positive
game haram populer,0.6,positive
halo developer terhormat download ya giga byte banget main pubg memakai wifi memakai paket terima kasih developer terhormat,0.2,positive
masukan pubg mobile banget grafis optimalkan handphone handphone spesifikasi mencukupi main game patah patah sinyal ok bagus main perang kadang fps drop kecewa ramai mengganggu match mode fpp pemain ganti bot push pertandingan menunggu pertandingan mengurus mode tpp arus seimbang,0.06499999999999997,positive
invite teman pemberitahuan update play store pemberitahuan update pubg mobile main bareng teman gara error,0.0,neutral
permain bagus,0.14999999999999997,positive
tolong naikkan masak update ganti handphone tolong,0.0,neutral
pubg main bareng teman tiernya pubg main bareng memandang tier,0.0,neutral
update error peta erangel bangunan rumah senjata melayang bayangan musuh bug mengambil senjata terhalang tembok install ulang,0.0,neutral
jelek,-0.6999999999999998,negative
game bagus karakter bagus grafis bagus kasih bintang,0.4833333333333332,positive
game bagus,0.14999999999999997,positive
tingkatkan fps drop,0.0,neutral
setel download data download masuk,0.0,neutral
sarankan pubg grafis smooth biar player handphone kentang main lag,0.2,positive
download keriset ulang keriset sinyal bagus kuota wifi lancar tolong penjelasannya,0.7,positive
bintang bug,0.0,neutral
cinta,0.5,positive
mantap,0.16666666666666666,positive
game senang segi grafis lumayan bagus kontrol mudah mainkan kedepan semoga game,0.2547619047619048,positive
aplikasinya bagus,0.7,positive
login twitter tolong,0.0,neutral
login langsung server menanggapi hemat,0.1,positive
lumayan menarik game,0.11666666666666665,positive
game gagal server habis download ulang data menunggu tunggu semalam,-0.45,negative
game bagus match menunggu bosan,-0.0666666666666667,negative
game haram jelek teman teman main free fire grafis buruk ultra cerah kaya pubg game keren anak free fire bos game haram game anjing sepi haram paket lengkap hapus pubg play store,0.04090909090909092,positive
ok,0.5,positive
update,0.0,neutral
wow,0.1,positive
game lag sial,-0.4,negative
permasalahan kaya performa,0.375,positive
game bagus lemah hack mudahnya bermain game mobile koreksi sensitivitas tombolnya berubah diwaktu lelah menyusun ulang sesuai,-0.008333333333333349,negative
krafton update sinyal stabil wifi lancar main game lancar,0.4,positive
gila melaporkan cheat banned main murni banned pass cheat banned giliran melaporkan cheat banned lawak,-0.19285714285714284,negative
menghibur,0.0,neutral
bug jalan lompat rumah,0.0,neutral
isi royale pass senjata senjata akm skin pesawat lelah tencent isi royale pass musim,-0.4,negative
bagus skinnya usahakan gratiskan,0.55,positive
download game mega byte masuk download datanya mega byte mega byte ya pilih ringan selesai pulsa langsung habis bangsat game bro,-0.4000000000000001,negative
lag parah ketemu lawan rush turun mobil enak banget lambat terima kasih,0.4222222222222222,positive
permisi match masuk masuk menit,-0.05,negative
seru pakai banget,0.3,positive
game menghibur bertengkar,0.5,positive
login akun facebook,0.0,neutral
tolong adakan fitur banned bersembunyi happy birthday kesal mati bokong,0.8,positive
anniversary bug kadang nomor urut musuh jarak pandang bug pakai game berat handphoneku aman pubg kali bug,0.15,positive
pengguna snapdragon grafis high definition grafis high definition tolong grafiknya high definition terima kasih,0.05333333333333334,positive
game bagus banned download grafis bagus bagus,0.42499999999999993,positive
musuh seimbang tier platinum jumpa tier ace kasih musuh tier biar seimbang,0.5,positive
gacha admin kemarin habis komentar gacha bantuan sosial benarkan,0.03333333333333333,positive
suka,0.0,neutral
lag,0.0,neutral
main patah patah berbaiki haram,-0.45,negative
aneh sinyalku bagus gagal masuk server akunku bagus kembalikan mohon perbaiki,0.21249999999999997,positive
memulihkan bug suara kendaraan,0.4,positive
bagus,0.7,positive
hai babi server anjing login,0.0,neutral
bagus,0.7,positive
ok,0.5,positive
bagus game,0.14999999999999997,positive
bagusan tencent,0.0,neutral
kurangi bug,0.0,neutral
menghibur,0.0,neutral
lumayan,0.2,positive
gamenya enak main handphone gara gara game gamenya diblokir,-0.03333333333333336,negative
game rusak pensiun main gara gara isinya penuh bug bug scope bug mikropon bug bug event uruskan bug fixed,0.016666666666666653,positive
bug,0.0,neutral
kasih rating bug bug mati suka gerak tonton teman tolong perbaiki kasih bintang,0.15,positive
mantap main karakin rudal ratakan peta,0.16666666666666666,positive
update jalan sinyal bagus,0.7,positive
ok,0.5,positive
gamenya bagus bug mohon perbaiki bugnya segi grafis gameplaynya bagus bug rank,0.039999999999999966,positive
game haram mengunduh game haram,0.0,neutral
habis update masuk tolong,0.0,neutral
menampilkan start regional,0.0,neutral
masuk babi bro,0.0,neutral
bug cheat sinyal bermasalah,-0.5,negative
bagus,0.7,positive
obb suruh download,0.0,neutral
tolong perbaiki bugnya main sungainya airnya,0.0,neutral
kali update buruk bug lag masuk pertemuan player sulit sulit baiknya benarkan bug mengalami bug merugikan developer terhormat terima kasih,-0.05357142857142852,negative
update poco fps admin pro,0.0,neutral
game rusak bug perbaiki krafton,-0.4,negative
pubg bagus,0.7,positive
mencoba,0.0,neutral
orang bersembunyi jelek,-0.7,negative
download coba kali mengunduh salah coba kasih bintang mengunduh kasih bintang ok,0.5,positive
jalan tunggu jalan tolong perbaiki,0.0,neutral
bagus sayang cheat berkeliaran atasi krafton malas main orang malas main gara cheat,0.06666666666666665,positive
bagus,0.7,positive
berat,-0.2,negative
habis update data game download ulang tolong perbaiki,-0.4,negative
admin update perbaiki sinyal bagus lancar update macet pindah game perbaiki admin edit kali lumayan gameplay game sebelah pubg game sebelah contohnya terjun pakai skateboard,0.19,positive
disconnect,0.0,neutral
bagus ambil senjata mohon perbaiki,0.7,positive
bagus,0.7,positive
nice try play game anymore never cause game crash game,-0.15000000000000002,negative
disuruh izin akses media izinkan kebuka pubg jelek banget,-0.9099999999999999,negative
menangis banget storage bersihkan,0.08333333333333334,positive
skin ringan game handphone meledak kemarin nyaman banget,0.0,neutral
jarak meter musuh lompat lompat lag squad lompat lag aneh,-0.05,negative
good game,0.14999999999999997,positive
orang beli iphone tersiksa main pubg musim bertambah,0.0,neutral
bagus game,0.14999999999999997,positive
update bug cheat tangani frame drop benarkan semoga update perbaiki,0.0,neutral
mantap game,0.2,positive
tolong developer hilangkan bug minimal bug turun pesawat rumahnya bug pakai android tolong,-0.15555555555555559,negative
bagus game,0.14999999999999997,positive
bagus,0.7,positive
mantap kaya,0.5875,positive
memori bro update,0.0,neutral
bagus enak mainnya ok pubg,0.6333333333333333,positive
top,0.5,positive
masuk game,-0.4,negative
suka game terjun pesawat bug kasih bintang perbaiki kasih bintang,0.04999999999999999,positive
mantap game tolong mendukung processor mediatek biar frame sulit,0.15000000000000002,positive
sekian login login item royale pass kumpulkan hilang dirugikan pubg menghabiskan uang royale pass pubg,0.0,neutral
halo tolong perbaiki bug bug klasik terkadang bug bug peluru mode tdm sinyal bagus bug permainan mode matchmaking tolong perbaiki update kolaborasi pentingkan tolong kesadarannya,0.21666666666666665,positive
suka game,0.0,neutral
bagus banget,0.7,positive
game jelek game haram bro,-0.6999999999999998,negative
jarang hoki,0.3,positive
poco pro force tutup,0.0,neutral
kecewa game pubg dimainkan koneksi facebook masuk facebook otorisasi dibatalkan,-0.575,negative
tolong perbaiki sinyal kadang masuk kadang masuk kasih bintang,0.0,neutral
suka game pubg handphone setan update bug suara tembakkan musuh terdengar taping terdengar langsung knock tolong solusinya,-0.15000000000000002,negative
developer mohon meningkatkan keamanan game cheat resah pemain lolos pengawasan sistem anti cheat,-0.4,negative
game babi senjata,-0.4,negative
game lumayan bagus sayangnya cheat pakai cheat tolong diban,0.012499999999999983,positive
grafis bagus pintu sakit mata terima kasih pubg pengalaman berperang bagus sakit mata terima kasih pubg,0.7,positive
mantap,0.16666666666666666,positive
minat coba download ambil contoh mobile legend update peminat mobile legend minat bro minat coba jadikan pubg game merakyat,0.0,neutral
verifikasi langkah sulit login nomor telepon tautkan hilang sulit kode kode kirim gmail akses gmail mohon costumer service bantu memecahkan,-0.5,negative
game seru anjing,-0.05000000000000002,negative
coba pubg mode one biar kemampuan mode vs miramar biar ramai,0.0,neutral
bagus banget,0.7,positive
mega byte handphone memori giga byte macet kasihan,-0.4,negative
game tolong kasih masuk login pemain habis mainkan login habis tolong halo pubg habis update sulit main lag grafisnya cacat mohon bantuan maaf pubg habis update buka mohon bantu,-0.45,negative
tolong perbaiki server game bagus server tolong cepat betulkan pemain memainkan game lancar,-0.020000000000000018,negative
bug,0.0,neutral
bosan,-0.5,negative
kasih bintang game download datanya,0.04999999999999999,positive
buruk game haram free fire haram,-0.23333333333333328,negative
pubg step suaranya peta merah pudar musuhnya step kali,0.4,positive
game keren,-0.025000000000000022,negative
event piramida,0.0,neutral
nyaman pubg,0.4,positive
pubg rating,0.0,neutral
bagus,0.7,positive
bagus,0.7,positive
koneksi suka error wifi sinyal coba pakai paket data sinyal lancar,0.4,positive
haram bro,0.0,neutral
update bagus tembak musuh langsung matii,0.7,positive
game bug mobil,-0.4,negative
permainan bagus,0.14999999999999997,positive
sedih sebagus,0.09999999999999998,positive
update frame drop,0.0,neutral
upgrade upgrade habis kuota,-0.4,negative
unbind dipersulit buru hilang akun melepas platform harap dipercepat menunggu unbind,-0.5,negative
toleransi,0.0,neutral
sinyal bagus admin overall ok handphone mid range,0.3,positive
orang akun gara akun kena banned tuduh cheat main teman menunggu game coba atur bedakan cheat hebat laporan cheat hebat tuduh cheat aneh,0.2,positive
kadang data macet kakak tolong sesuaikan,-0.1,negative
pubg diperbaiki grafisnya patah dibaguskan,-0.4,negative
halo pubg tolong akun,0.0,neutral
bagus,0.7,positive
ok,0.5,positive
lag,0.0,neutral
suka lag seru pubg admin,0.3,positive
minusnya update download ulang peta skin baju skin senjata,-0.1,negative
admin tolong turunkan mega byte main patah patah,-0.4,negative
