content,sentiment
"Game rasis! Device low end sound pas main dikasih bug, biar apa ? Biar dagangan sponsor laku ?! Bangke tottt",negative
Mohon maaf. Tolong turunkan ukaran kapasitas nya agar device yg kelas menengah pun bisa maen dengan lancar. Banyak yg suka bermain game ini tapi sayang device yg di pake tidak memadai ☹️,neutral
Bagus,neutral
otomatis mengunduh sangat menguras internet saya,negative
Minimal di kalo main gak susah amat,negative
"Akun saya di hack , sudah dikirim email tapi isi email nya kek gitu Mulu Susah amat minta bantuan Tencent . Coba influencer pasti bisa di bantu Percuma isi uc banyak2 ke hack gak dapat akses menghubungi cs Tencent",negative
sering ngebug,negative
Agak sulit,neutral
Device saya android dengan cipset snapdragon 865 main pubg tetap saja frame parah. Saya merasa pengalaman buruk di pubg versi ini,negative
Hp ram 2 gb bisa apa huftt😪.. tapi mantap lah buat PUBG Mobile👍,positive
Bagus keren bintang new Terima kasih,positive
"Aku saya di hack gak bisa login lewat FB, bagaimana solusinya",positive
Nice game😭,positive
Lama banget download nya,neutral
Download nya lama banget,neutral
"Astaga ni game makin lama makin rusak. Setiap saya mau main pubg,force close padahal udh bagus device masih aja",negative
"Hai admin, di pubg saya terkena bug tidak mendapatkan kode verifikasi login dari Gmail,setiap meminta kode verifikasi selalu tidak masuk. Mohon bantuannya terimakasih 🙏",negative
Good,positive
Sangat baik,positive
Bad,negative
Mohon di tingkat kan kembali servernya agar tidak terjadi bug bug yg aneh Sekali lagi mohon di tingkatkan developer Terima kasih..,neutral
Saya suka app ini 100%,positive
Kebanyakan event,negative
"Pada saat saat tertentu saya tidak bisa masuk kedalam game karena saya menggunakan jaringan wifi, sangat merepotkan jika saya harus berpindah ke data seluler, otomatis biaya internet saya menjadi double. Mohon solusi.",positive
GAME kok nyembah patung game tuh nyembah Allah,negative
😊😊😊👍👍👍,positive
Sinyalnya kurang stabil Buat push rank susah jdnya,neutral
I like,positive
Kurang sempurna masih banyak bug nya mohon di perbaiki ya ( •_• ) Tapi dari segi gameplay bagus kok lebih bagus dari Free fire tapi bug nya itu masih belum di perbaiki semuanya waktu nonton temen lagi war orang nya itu enggak jalan mohon diper baiki semoga dibaca 🙏😃😀,neutral
"Satu bintang selamanya, seiring waktu makin ga jelas",negative
"Pubg semenjak update banyak bug, seperti black screen,fore close",negative
Gem ini sgt kurang bagus bgi sya,negative
"Kasih bintang 4 dulu ya,karena ada yang aneh di rank cs bug nya ngelag tolong benarkan game ini saaat main susah karena bug nya ngelag.",neutral
Di cobak dulu,negative
Mohon agak di perkecil size game nya min biar player hp kentang bisa main gak lag,positive
GAME MEMEKKKK,positive
asik jga,positive
"Pubg sekarang terlalu banyak cheater. Sdah di report msih bnyak jga. Edit : Fix uninstall PUBG, cacat, terlalu banyak cheater. Tutorial cheat sampe unbanned banyak di youtube, bikin sia2 main. PUBG gk se-asik dulu, kalo ada bintang - (minus), kukasih minus 10",negative
:v,positive
Vektor itu buff lah amunisi cumak belasan itu lo buat nembak apa kalau pun kena juga masi harus relod,negative
Buatlah sprti pubg China karakter nya cantik2 dan game playnya menarik,positive
Mantap,positive
Tolong Tencent ini kenapa pas di update jadi banyak bug gini 😭,neutral
Banyak bugg!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,positive
Saya Jadi Takut Download Min Jika Bug Nya Banyak🙏,positive
Kenapa tidak bisa di download ni game Ini game rusak yaa,negative
Tidak asik seperti dulu,neutral
GEME anjeng,negative
Gem. Bagus,positive
why does the rand search system in pubg always give an inexperienced team and instead give a good enemy,negative
Udah jelek sekarang,negative
"Setelah diupdate dimusim ini micku ngebug terus, ga bisa digunain",neutral
Kerreeen bgt kusuka,positive
Pubg haram,negative
"the game is broken, just downloaded again directly on the base tire, the game is broken even though I don't use cheats, hard graphics, elite tires",negative
males ah,negative
Haruskah kita mengupdate terus,positive
Mohon maaf kenapa ketika saya bermain banyak cheater nya tolong di bann ya....,positive
Kenapa sekarang gk bisa login????,negative
"Knp makin kesini makin bnyk bug,tolong perbaiki!!!",neutral
"PUBG sekarang gak kaya versi yang kemarin, sekarang sinyal bagus juga kadang lag buat di mainin. gak kaya versi sebelumnya lancar banget. semoga aja di versi berikutnya bisa lancar lagi:)",neutral
"Gamenya seru cuman zona di livik terlalu cepat,tolong di koreksi lagi🙏",positive
Banyak Sekali bug di game pubg yg sekarang ayolah perbaiki saya sudah males rank saya turun gegara bug ini sangat meresahkan,negative
PUBGM is the best,positive
"Maaf min saya rating 3,karena bugnya meresahkan, dari bug langkah kaki musuh, suara tembakan, pas turun dari pesawat. Harap di maintenance ya min, oh ya pas ada war pingnya bukan turun malah naik, terimakasih min semoga di baca.",neutral
Gem ini jelek sekali,neutral
Pubg itu sukak menghina ff mm makanya aku gk suka,negative
Uninstal lagi msak helio g96 gak mampu main pubg patah2 poll 🤣,negative
gak asik lagi,negative
Game nya bagus,positive
Sudahlah Bermain Game Main Lah Bersama Aku,negative
Ok,neutral
Tolong gwa pengen main di erangel masa map gak ke r ender tolong di perbaiki bugnya,neutral
seru pas awal season sampai season 9,neutral
Bug sinyal trs jadi gua kurangin bintang nya jadi 3,neutral
"step lwan sering gk kedengar , sama gk muncul d map ..",negative
Mantap,neutral
Apk ini ko donwlond gabisa,positive
Masih terbaik. Udh 4 tahun main Game PUBG,positive
Bagus sih bg tpi sayang senjatanya gk keliatan,neutral
Updatenya jangan banyak2 kasian hp kentang,negative
"Sering terjadi bug di mode arena (team deathmatch) yaitu karakter tidak muncul, ammo selalu 0",neutral
"Bug karakter seperti tersandung, bug step di mini map step teman jadi step musuh. Tolong dong bug bug nya diperbaiki.. kasihan player yang main....",negative
Kebanyakan bug tolol pubg mending maen epep padahal HP gua ram8 bisa bug gem tolol,negative
Ok,positive
hemmmmm...,negative
Kebanyakan event,negative
Oke,positive
"PUBG aku bingung harus bagaimana...!!! Kamu bukan PUBG yang aku kenal seperti dulu... saat dimana masa S1 kamu adalah game yang membuat hari"" Ku sangat indah.. Walaupun aku sering tosoon... Tapi aku nyaman bisa tertawa lepas dengan orang"" Random gak pada toxic, main havefun... Intinya masa itu adalah masa yang sangat aku suka dari kamu PUBG. THANKS PUBG MOBILE",positive
Game lu banyak bug anjir lah,negative
"Game ini bagus banget, saya sangat suka bermain game ini😇",positive
"1 Bintang aja dulu , soalx baru apdet ini",negative
"semenjak di pegang krafton banyak skali bug, keren krafton kamu cuman bisa ngerusak ni game doang",neutral
Sering ngebug n ngefris,neutral
Saya coba dulu ....karna saya lebih suka main yg lite,negative
Saya ingin ace master...,neutral
"Banyak permasalahan sekarang gak kaya dulu,performa kurang baik",neutral
tolong chiternya di hilangkan saya merasa di rugikan,negative
Give us back PUBG Mobile LITE,positive
"Bug masih sering saya temui di dalam game, seperti awm ngga hit padahal udah ditembakin, mic sering ngebug padahal udah nyala, misi rp eror gajelas, dll. Tapi udah banyak bug yang di minimalisir meskipun belum 100%. •tambahan, update terakhir gagal ekstraksi dan minta restart hp. Setelah restart hp hasilnya sama aja, malah harus download lagi data 1gb lebih. Malah makin gajelas, padahal pengen maen tapi malah eror apknya hadeh",neutral
"Gem ini memang bagus tapi ad yg tidak bagus nya pertama kali aku download pubg, itu aku lagi posisi paket sekarat jadi paket ku tinggal 666 mb dan gem ini kalo mau download 700 ke atas jadi aku di hentikan karna paket ku habis dan setelah 30 menit aku beli paket pas aku mau liat mala ulang dari 0 % tadi nya 60% jadi itu lh yg enggak enak nya",neutral
itukan permainan laki laki aku kan perempuan aku sih gak download permainan itu cuma di pegang doang kok tiba-tiba bintangnya muncul aneh deh,positive
🏃_______________🐘,neutral
"Jaringan lag dan roll back, sangat mengecewakan setelah update",negative
"game ini seru sekali -grafik✓ -dll✓tapi,jika gw main game ini gw tegang subscribe channel gw y guys *Timuks.Jr#",positive
"Sorry min, fitur meminimalisir resource itu cuma click bait kah, pasalnya saya sudah mengunduh low memory pack, tapi tetap saja data game tembus ke 7-8GB pdhl saya hanya mengunduh peta bukan resource. Ini bug kah? Kalo misal bug coba di perbaiki ditunggu next update.",neutral
Seru gamenya,positive
Dear tentcent untuk segi permainan si cukup bagus tpi Untuk segi ke hokiannya tolong diringkatkan lagi ya,neutral
Ga masok,positive
"Game tambah buruk sering lag, hapus aja game nya kontttol",negative
Pubg pepek,negative
Saat turun dari pesat. Rumah rumah terlihat tidak utuh. Jadi waktu habis terjum payung harus nunggu beberapa detik agar rumah rumah bisa kembali seperti semula.,positive
Kenapa selalu lag padahal jaringanny bagus,neutral
Saya Jadi Takut Download Min Jika Bug Nya Banyak🙏,positive
"PUBG ""B"" nya itu Bug",negative
kepada pihak pubg mobile servernya perlu di perhatikan lagi karena setiap gua login ga bisa di lobby sinyal lah pas di game sinyal nya itu enak kalau update selanjutnya PING /server mohon di perhatikan,negative
ping jaringan tiba² naik semenjak update,neutral
"Game nya bagus sekali,tapi sayangnya sering banyak bug yang ngerugiin kalo lagi main",positive
Kalau di apdete nanti jangan dong dwold kembali skin pakiannya sama HD nya dan jangan juga otomatis dowold penyimpan hp tidak cukup lagi tolong ubah dong jadi lek lek jangan dong boros meng habiskan kouta susah beli kouta,negative
Good game,neutral
Banyak bug.a Msak setiap main waktu permintaan hbis pdhal bru buka aplikasinya....msih enak yg versi 1.9,neutral
Geme haram isis,negative
kepada pihak pubg mobile servernya perlu di perhatikan lagi karena setiap gua login ga bisa di lobby sinyal lah pas di game sinyal nya itu enak kalau update selanjutnya PING /server mohon di perhatikan,negative
Sekarang tentang peta ...udah di downlod...main di erangel cm keliatan putih...bangunan gak keliatan...masak cm main di livik trus,negative
Kurangi bug nya ya,negative
Aku belum cobasih tapi aku udah pernah main di hp temenku game pubg seru banget itu aja sih yang mau aku omongin gamenya seru pubg go go winner winner chicken dinner,positive
Coba,negative
Bagus,neutral
Game nya bagus,positive
"Tencent, tolong kembalikan chess rush, gua ga nyaman dengan game lain😭😭😭😭😭😭😭😭😭😭😭😭",positive
Nice,positive
Sya Sangat Suka Permainan Ini,neutral
"I don't know,it's good game online",neutral
Sangat cocok untuk di mainkan ya,positive
"kenapa semakin di update bukannya semakin bagus malah makin buruk, Bug Rumah terlihat seperti batu, karakter Tembus ke bawah tanah, Suara kresek, Sinyal memburuk, Tolong perbaiki seperti versi sebelumnya, agar semua pemain lebih nyaman memainkannya.",positive
"Saya sudah update error' terus ya, padahal pake WiFi loh 😒",negative
Jawabanya setiap pertayaan sama perasaan...dari pertama maen pubg...itu itu ja...tapi g ada yg...d lakuin....makin sepi makin berat...masak gara gara game aja harus gonta ganti hp mulu....,negative
Kalau bisa perbaiki jaringan admin🙏,neutral
Cukup menyenangkan,positive
"Game rusak Kalau player jaringannya tidak stabil, keluar sendiri dari pertempuran , masuk kembali malah cuma lawan map🤣🤣🤣",positive
Yanus,neutral
Portinaiti la babaji,positive
Menurut saya game nya memang sudah bagus tapi tolong bug nya di hapus biar lebih enak main nya,positive
Gem haram,negative
Dirank bronze-gold banyak citer min 😅☝️,neutral
Kenapa sekarang harus rilog lagi pas login sering sekali gini,negative
"Tolong untuk developer pubg mobile setelah saya update ke versi terbaru 2.1.0 ini kok malah tidak bisa masuk ke game nya cuma ngestuck di loading awal terus keluar sendiri, saya sudah restart hp sama hapus semua data pubg tetep tidak bisa di masuk ke gamnenya tolong dong di perbaiki lagi🙏🙏",neutral
menurut gw hadiah rp sekarang tidak se-keren yg dulu,neutral
"Login server gagal terus, gk bisa masuk, gak bisa main, padahal internet aman aman aja, ini update paling busuk kalau begini terus uninstall aja nih game...",negative
Game nya ngeselin udah 1minggu loading resources nya ga mau jalan padahal sinyal nya bagus dan penyimpanan hp gua masih banyak,negative
Lumayan tingkatkan,positive
klo mau main ini pastikan Hp kalian bagus dulu ya wkwk bobrok sayang,negative
"Hai, saya ingin menyampaikan keluhan saya, pertama tujuan saya bermain game ini adalah untuk mencari hiburan, tapi setelah beberapa tahun bermain, saya tambah pusing dengan sistem ranked dalam game seakan-akan sangat sulit untuk mencapai rank yang lebih tinggi, mungkin memang kemampuan saya yang menjadi masalah nya, jadi saya pikir untuk tidak bermain pubg dulu untuk beberapa saat, untuk developer bisalah agak di sesuaikan sistem ranked nya, demikian dari saya Terimakasih.",neutral
game asu sinyal bagus kok di game server tidak merespon melulu asu emng lah tencent babi emng,negative
Mantap kali game nya tapi koneksinya boros 1 hari main akan menghasilkan 1 gb hangus,negative
Mic kadang tidak berfungsi,neutral
Gw heran sinyalnya padahal dibuat main mlbb aja lancar di pubg gk ada sinyal kecewa saya,negative
Lumayan bagus,neutral
ping nya tinggi banget setelah d.update,negative
Lumayan bagus😍😊👍,neutral
Makin di update makin banyak bug ya tolong lah anj,neutral
Nmabah Ram Lagi,negative
Mic kadang tidak berfungsi,neutral
"Ga bisa login setelah update,, bgmna ini Boss.. piye cuuuk.. ga ono respone. Jangkiirk Admine somplak,, ga ada respon",negative
Kenapa sekarang gk bisa login saya? Tolong di periksa ya admin🙏,neutral
Tolong dong size gamenya kecil,neutral
Baru di coba,neutral
"Bisakah PUBG lebih serius dalam mengurus mode METRO ROYALE? menambah monster, misi, dan memperluas peta serta menambahkan lebih banyak fitur didalamnya. atau mungkin merilis game baru seperti mode METRO ROYALE? banyak peminat mode METRO ROYALE di PUBG mobile, mungkin sudah saatnya untuk lebih serius menggarap mode ini",neutral
🥰,negative
Makin asik aje ni game Semenjak gw uninstall nih Gme di download lagi makin bagus dah,positive
Cukup dan perbaharui ya hp ku bukan hp baguss kasiankk,neutral
Ok,neutral
"Semakin di update kok, semakin susah login ya?",negative
GAME TAI CHEAT MULU BABI,negative
TOLOL MAEN TDM MUSUH NYA ENGGA ADA KELIATAN GILIRAN GW MATI BARU KELITAN ANJ GAME RUSAK TOLOL BANYAK UPDATE DOANG BUG KGK DI URUS GBLK,negative
Gem haram,negative
"Masih banyaknya bug saat bermain contohnya spektor nge bug,,saat melihat teman masih bermain dan saat di rekoL nge bug juga tidak bisa terhubung kembali ke dalam game",neutral
Game paling mantap,positive
"Makin lama makin membosankan main pubg, karna pubg gk kayak dulu.. Size ukuran masih ringan & HP kentank pun msih bisa di mainkan.. Sementara sekarang pubg makin lama makin besar ukurannya.. Bug masih banyak seperti parasut di karakin dan bug di event tertentu.. Dari situlah player pubg banyak yg pensi karena yang cuma dipikirin skin dan event"" Doang.. Sementara bug masih banyak & citer hadehh 😌",neutral
Bang tolong bagi sensi pubg untuk hp oppo a 53,positive
Karna game ini rame tpi ada satu bug gak ada suara musuh to long di perbaikki developer,positive
Bagus,neutral
Mantapp,negative
Sering keluar sendiri ketika sedang bertempur,negative
Tambh lama tambah gk bagus pubg,negative
Bintang 3 dulu Pubg tambah berat karena download resource otomatis. Meski sudah di matikan fitur download. Pubg tetap mendownload data yg ada di layar/yg di pakai,neutral
ini knp ya kok gk bisa dibuka gamenya...apakah batas waktu? sudah saya hapus terus saya download lagi tetap gk bisa dibuka,positive
Gamenya mantappppp,positive
Buat player PUBG game kok mati suru hahaha game kok gak ada lif hahah game haram mau muntah liat game ini 🤮👎,negative
Saya sering main gem pubg tapi hp ku disita sama guru sekolah sbnyak 2 thn aku kasih bintang2 aja,negative
Mantap,positive
Kok gabisa ya login twiter dari semalem server trus kenapa min ?,neutral
sok hd,negative
"Kalo bisa usahakan device menengah masih bisa bermain,berat banget sih punya game.",neutral
Saya kasih bintang 3 dulu ya maaf developer bug nya tolong di perbaiki contoh medkit tidak keluar sama bom terus bug parasut sudah itu aja,neutral
Gamenya bagus saya sudah dapat skin senjata legend tapi kok skin saya pas di lobby keliatan pas main kok nggak keliatan,positive
Klo baguss tmbah,negative
Untuk fiturnya bagus tapi pas saya turun selalu ada bug tidak patah patah masih saja saat saya sedang berlari tiba tiba karakter saya jatuh dan tereliminasi mohon untuk di perbaiki saya memberi rating 4 hanya bug saat turun dari pesawat,positive
"Koneksi suka error padahal menggunakan wifi ping 20,pas di coba pake paket data ping 70 lancar, ini apa gimana",neutral
Makin puyeng dgan byknya pitur2 aneh,negative
Cukup,neutral
"Bagus,dan wajar bug soalnya semua game online jga Kya gtu",positive
"Saya sangat menyukai game yang satu ini sebelumnya saya memainkan Mobile legends, namun saat memainkan game ini rasanya masih ada sedikit bug bagi kmai yang hp di bawah rata² mohon di optimalkan kembali trimakasih.",positive
𝙏𝙤𝙡𝙤𝙣𝙜 𝙡𝙖𝙝 𝙟𝙖𝙧𝙞𝙣𝙜𝙖𝙣 𝙣𝙮𝙖,positive
"Ku kasih bintang 2. Bukan masalah grafik, game play, atau pun yang lain. Masalahnya hp ku nggak support................................................................................Untuk game ok tapi rendering nya bos perbaikin, karena setiap kali terjun dari pesawat langsung masuk ke tanah. Pas turun juga pindah tempat yang awalnya mau terjun didarat malah di air. Pas mau cari loot juga sama rumahnya kaya ager- ager(jelly). Ok itu aja, perbaikin ya bos kalo udah lebih baik gw kasih bintang 5",negative
"PING sering di atas 400,padahal jaringan lagi bagus.",positive
"Ini game download resources mulu,gak manusiawi,niat di mainin gak game nya...",negative
Downloadnya lama banget ya,positive
げmにゃばぐっせかぃ,positive
👍👍👍👍👍👍👍👍👍👍👍👍👍100,positive
"Oke akan saya tunggu updatetan nya mode VS AI seperti dulu, seperti waktu pertama kali hadir nya mode VS AI, karna saya player yang tidak mementingkan tier hanya bermain untuk havefun saja. Terima kasih",positive
Game sangad buruq,positive
"Kok aneh ya,udah di download tapi pas dimainkan malah disuruh download data obb lagi,trs 600 mb tu dapet nya apa masa aplikasi doang😏gimana nih developer",neutral
"............................ ............................ ............................ .............,.............",positive
"Sekarang setiap main pubg makin berat,sinyal juga makin susah,apa lagi bug ny makin banyak",neutral
Gem ini bagus sekali,neutral
"Halo min setelah update pubg saya tiba "" unstable network dan udah berulang kali saya udah mengikuti petunjuk yang sudah di arahkan tapi tetap saja masih untable network mohon di perbaiki bug network nya",neutral
"Makin sini makin lemot saja, dasar game babi",negative
Ok baik,positive
Game kebanyakan bug,negative
Asu,negative
Bagus,positive
Bintang tiga,neutral
Luar biasa,positive
Bot bawah sendiri,negative
Tidak merasakan pugb yang dulu .. Sekarang banyak cacat nya,neutral
Good,positive
"terakhir main banyak bug, minat para player jadi sangat berkurang.",neutral
Tolong di kembalikan acount pubg yg ke baned biar rame lagi,positive
Game asw,negative
"Developer saran saya , lebih baik grafis pubg mobile di kembalikan seperti dulu saja , grafis pubg yang dulu udah bagus kok , saya dulu bermain pubg pakai hp ini lancar tapi sekarang patah patah walaupun menurut saya grafis pubg sekarang tidak beda jauh dengan yang dulu saat season 3 , sekian terimakasih",neutral
Download nya lama banget,negative
Di game pung ini banyak sekali bug dan cheat biasanya di pubg ini sumber bug adalah cheer park,neutral
Oklh,neutral
Pubg pubg,positive
baru mau nyoba mau liat bagusan pubg apa frhe fire.3 bintang dlu lah.,neutral
PUBG...gue ngasih bintang...tencen lebih bijak lagi,positive
tolong developer game tolong perbaiki permasalahan akun contoh nya saya lagi asik asik main malah di suruh login ulang padahal jaringan saya bagus tolong perbaiki lagi,neutral
Bikin habis data aja unduh ni barang tll,negative
"Apasi Force Close mulu tiba"" ga asik amat turun mulu gua .. device realme 6 Pro",neutral
Asuuui,negative
Tolong fokus dalam memperbaiki bug yang terdapat di dalam game terlebih dahulu,neutral
"Setiap kali upgrade pasti bertambah besar dan pasti berat, harus hapus app lain biar bisa update. Tolong dong min, setiap kali update jangan di tambahin kapasitasnya, ujung2 app ini yg bakalan di hapus.",positive
Saya lama gak main pubg karena hp saya gak mendukung beli lah hp baru tencent😁,positive
Bug&fremm yg sangat parah,neutral
Kenapa ya padahal main game nya lancar pas mau gerakin layarnya gak mau gerak knpa ya apa itu masalah device tapi saya kurang tahu tolong di perbaiki!!!,neutral
"Mengapa stelah diupgred diPusat Menejemen Sumber Daya slalu minta unduh trus,dn stlah diunduh ttap tidak mau dibuka.mhon ptunjuk",positive
;b aja,positive
Maaf saya kasih bntang 4 dlu karana saat saya bermain terkadang terjadi bug mohon di perbaiki tapi sudah baik lahya,positive
"Bagus sih, cuma kadang kadang gak kedengeran stepnya padahal udah ganti headset 3x tapi sama aja",neutral
Bintang 1 aja dlu,negative
Assalamualaikum kenapa ini game terlalu besar memorinya saya mohon kalu update kasih sedikit memorinya sekian saya assalamualaikum warahmatullahi wabarokatu,negative
Kenapa seiring bejalannya waktu sering frame drop dan sangat tidak enak saat di main kan tolong di perbaiki lagi,positive
"Makin sini bukannya makin maju malah makin gk seru,keanehan banyak terjadi,cheat dimana mana,terkadang bug muncul tiba tiba.",negative
Bagus permainannyaaaaaaa,positive
"Hp ram 8 gerapick hd nya masih belum kebuka? bingung tencen harus pake hp ram berapa biar grapick hd nya bisa di pake dari ram 4,6,8 masih gk kebuka?",negative
Bgus,positive
Lumayan,positive
Lumayan buat nghibur,neutral
"Aku suka aplikasi ini, tapi bisa gak data2 nya agak d turungin, soalnya hp saya cuman ram 3",negative
menahan sakit dengan senyum adalah hal terhebat🥺😌,positive
Gamenya bug padahal baru download udah gak bisa bukanya 🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬,positive
"Kasih 3 aja dlu soalnya livik tdk bisa di download,, please perbaiki",neutral
"Cepat diinstal tp gak bisa dibuka kenapa yak..,mohon penjelasannya dunk mzBroe..!?",positive
Gpp gue udah bisa download kok karena riset hp,positive
"Game seru,keren,hd ;tapi banyak bug, pemakaian memori terlalu berat, boros baterai, sama suara step teman lebih keras dari sebelumnya jadi susah membakan teman atau musuh",neutral
"Kenapa game ini gak ada pintu sih ,tolong lah cari tukang agar ada pintu",positive
jncuk,positive
Please give hit effect in pubg 😘,neutral
"Game nya bagus sekali,tapi sayangnya sering banyak bug yang ngerugiin kalo lagi main",positive
"Why is it that only updates are handled, the bugs are not taken care of!! For developers, I want to complain about the bugs experienced by all players and this bug is troubling me and all players and also review the bugs in this game so that our gameplay is more sporty and comfortable and the review of the tier restriction feature is disturbing for all PUBG players",negative
Buat lu yg suka ngejek game lu bisa buat game gak?,positive
HALO DEVELOPER ADA YANG INGIN SAYA SAMPAI KAN YAITU ADALAH BUG BUG NYA ITU BERADA DI ULTIMATE RANGE SAAT MASUK KE LAGA PERTANDINGAN KONTROL YANG SUDAH KAMI TERAPKAN KEMBALI KE PENGATURAN AWAL ITU MEMBUAT SAYA SANGAT KECEWA MOHON DI PERBAIKI TERIMAHKASIH :D,positive
"Untuk developer tolong kasih grafik yang Very low aku yang hp ram2. Lag parah sampai FC, mau download low texture pubg takut ke banned padahal game nya seru",positive
Menurut saya fari tadi 31 terus gimana si,neutral
Tolong perbaiki masalah FPS drop yang terjadi pada ponsel OnePlus 7 Pro,positive
"Sudah bagus ,lumayan",positive
"Pengen main, tapi hp kentang",positive
geem nya seru.... tapi kalok bisa lebih di benerin lagi.....,neutral
updatenya kok lama yahh,negative
"Terlalu sering pembaharuan, malah bikin game kurang menarik lagi",neutral
Update = BUG,neutral
"Kenapa pubg sekarang sudah tidak stabil, jaringan bagus tapi setiap masuk gams pubg selalu keluar notif batas waktu habis... Tolong kasih solusinya",negative
Kebanyakan update dan suk ngebug gal jelas,negative
Kalau update kecil kaya 4mb suka bikin frame dan fps drop.,negative
"update mulu tiap gk login 3jam, mana gede lagi 500mb kurang",neutral
Kbanyakan update .,neutral
Gkfoom,positive
Makin kesini player indo jarang di temui melainkan dari negara sebelah 🙂 mau ituh dari arab atau China kebanyakan,positive
ya rumayan bagus,neutral
Bagus,positive
Uh,neutral
Ciri khas PUBG yang sering terjadi pada saat kelamaan di lobby kemudian terjadi kesalahan server dan terpaksa login ulang. Tapi anehnya pas di game lancar jaya. Baru 30menit main hp udah panas padahal grafik udah di setting low semua. Main PUBG hp ram 4 serasa jadi ram 512mb,neutral
"Kenapa suka ngestuck pas loading ke matchnya!.. trs ngerender bngt pdhl masih cukup chipset SG 665 (Realme 5i) Heran sama updated skrng ini, Tolong dong PUBG MOBILE ATASI SEGERA MASALAH INI!!....",negative
