content,sentiment
tolong tencent tingkatkan performa fps bermain berat ponsel samsung ram ruang internal sisa mengunduh sumber grafik rendah mengalami fps stabil grafik terputus putus drop mohon tencent mengertilah pemain perangkat rendah meningkatkan performa fps stabil mewakili pemain pemain ponsel perangkat rendah,2
main pubg bug menyenangkan diperbaiki pengembang,1
ank keil suka main game orang tua sukacukp menarik ys ys ys,1
cheat game,1
game is fun mengunduh it,1
aplikasi pubg hapus instalan ajaudah parah pubgsetiap masuk pembaharuan,0
tolong peta game play vs tambahkan livik,0
bagus,0
terpaksa hapus ponsel mendukung,0
berat mendukung ponsel kentang,0
komentar,2
bagus,2
bug temui game awm memukul ditembakin mikrofon bug nyala misi rp error bug minimalisir tambahan pembaruan gagal ekstraksi mengulang ponsel mengulang ponsel hasilnya mengunduh data main error aplikasinya,1
grafik buruk bertarung hapus nomor,2
good game,2
game dk mengunduh tolong,0
mendapati kegagalan masuk via twitter tolong perbaiki,0
game haram,0
game ya mati asap aduh,0
kecewa dn kecewa game bermain tba mati ketahui dn jaringan sungguh mngenakn kn sinyal kuat main game nglek ktika musuh dtng nembk kecewa tolong perbaiki plnggn pahami dn jangn kau anggap sepele komentar,2
pembaruan tolong adakan tembak musuh kendaraan mode pelatihan admin latihan aim tembak musuh kendaraan melaju,2
game login penyimpanan kosong,1
puas game,2
habis pembaruan login mengunduh sumber daya habis pubg huhh,1
semangat pejuang kentang gwj,2
good game game,2
perang jarak mengalahkan membangkitkan icon kontrol hilang icon lari icon fire button kiri hilang,1
game bagus sayang jaringan turun game play sulit main mati ntah grafik terputus putus mati sulit mengunduh peta pembaruan qouta boros berat game,2
grafik buruk main,1
games bagus,0
game rusak main bug pemain tim patah patah kadang bug lari berkali cepat suasana hati semoga cepat tangani,1
tutorial game coba,2
masuk game pubg ok ok bug ya terima kasih,2
kadang mengunduh hd dukung ya ulang ya,2
game bagus,2
izin membuka akun terkena phising memainkan pubg musim laporan game pubg tanggapan tanggapi akun mohon pubg membantu terima kasih,0
pubg bagus,2
pubg bug analog gerakkan,2
tambahkan ramah fire in pubg mobile terima kasih,2
masuk arena parah,1
tolong dev perbaiki bug game pubg mobile,0
login muncul tulisan otorisasi dibatalkanterus disuruh tunggu menitsetelah login,1
bagus,1
game seru aneh memuat berkali seru,2
giliran hapus instalan pembaruan berlari acara mengunduh habis acara bagus pubg mengecewakan pemain main mengecewakan semoga kedepan bagus,2
pembaruan jelek suka main,0
bug cheat suntik,2
sesuai bintang,1
bagus gamenya,2
seru,2
bagus,1
tolong bug tencent habis pembaruan buruk mental lobi pertandingan masuk game macet memuat main livik habis recall bug kasih bintang,1
game sulit kalahkan menembak lancar,0
tolong tencent mengharap pembaruan peta game msh bug game terjun mati ketinggian masuk rmh diluar rumah tolong ngambil keuntungan pemain pubg bermain nyaman aman cheat bagus,0
pembaruan,0
game nyaman mainkan ya bug berat game ponsel ram pakai wifi main bugngelek sebagainyatolong perbaiki hapus instalan maunya,0
senja point blank,1
mengunduh bintang,1
game bagus disebelah miliyar pemain doank gamenya,2
hallo maaf ya kasih bintang pass mengunduh game pubg menit mengunduh game inipadahal isi pulsa,1
game ya oke klien ponsel kentang mengunduh main free fire aje,0
ram tahan cepat panas mudah meledak,2
tolong adakan pengecilan kebawah pensiun ram lancar,2
parah mudah lancar putus kasihani pengguna android tolong dibenahi,1
bagus,2
ok game bug login habis pembaruan mengunduh lobi login tulisannya pembaruan file error tekan bantu ya hasil tekan ulang tolong dev perbaiki,1
bug haram lho mainkan gusy pubg haram,2
pubg error masuk login mengunduh is berlari mohon perbaiki mengunduh ulang ngehabisin data,0
cupu game tencent main seru ditekan tombol apapun tolong main game pembaruan,0
bagus,2
tolong diperbaiki nonton temannya mati duluan mati duluan nonton teman,2
giroskopnya hidupkan dipengaturan kontrol,1
game bagus,2
ponsel vivo ram kuat,2
main pls perbaiki bug inisaya mengunduh peta pilih peta,1
jelek,1
halo pengembang bug bug ultimate jangkauan masuk bertarung pertandingan kontrol terapkan pengaturan kecewa mohon perbaiki terimahkasih,2
bagus,1
bug servernyaa benarkan banyakin acara,0
tolong admin kembalikan foto pembuat peta sanhok malaikat sanhok,1
login twitter akun senjata upgradean login via twitter,0
game jalek,1
cocok,1
pembaruan mateek,0
halo delfofer ram main,2
dds,0
gemeyang seru,1
ntahlah,1
bagus,2
bagus,2
ramah ponsel umbi umbian,1
gamenya bagus pembaruan berat ponsel ram,1
saran pubg mobile coba game menghasilkan uang peminatnya,0
bagus bagus,2
dasar game haram masjid game tembak patung,0
bug lancar parah,0
tolong kembalikan fitur peta grafik perbaiki,1
nyobain pubg ya,2
game,0
hua kasih bintang aim sulit atur,1
game haram,0
tolong perbaiki buka bug,1
ok,1
tencent pubg mobile ringan mengunduh pubg mobile ringan ya tulisan ya item tersedia negara,0
ganti ponsel login stelah login,2
bermain lancar main bug team deathmatch bug game berat parah sinyal buruk mengalami layar gerakkan mohon dibetulkan lancar game berat menjalankan aplikasi bermainpubg,1
seru,2
nyaman game,2
dgfdggddfttsd fdtggstvsnjmgdm fd eacvhhrcggafh deus ussy feat,2
apalah daya ram,0
tolong perbaiki gime main ditembaki musuh dimana langkah musuh lari kepos tutup pintu buka lihat musuh aneh dimana musuh tembak tolong dibantu mksibhh,0
nyamannya zaman,0
bug parasut dilepas karakternya terbang jatuh mati,1
bagus,2
game haram,0
akusih ok game bagus abgreb ya pakai spin habis uc,2
mengunduh kasih free bintang,2
bug jaringan stabil game berat mobile legends stabil masuk lobi pubg beratnya maaf jaringan telkomsel,2
game seru cheat berkeliaran prediksi peta zona akibat peta pergerakkan zona cepat karakter gadisnya papan karakter gadisnya suka lihat pria gadis bedanya karakter gadis pria papan landasan pesawat terbang permohonan tolong perbaiki gadisnya tolong sesuaikan,1
menurun peminat,0
pembaruan game jualkan ponsel kasian pemain menikmati game spesifikasi ponsel menanggung grafik terputus putus egois pengembang pemain game mati game sultan tampilkan play store ponsel mendukung,2
kasih peringkat bug bug mati suka gerak nonton teman tolong perbaiki ya kasih bintang,1
kasih bintang tolong kasih fitur biar lancar,2
bagus,1
bagus game bosan,1
bug game bagus,1
login lobi game jaringan bagus,1
bagus,2
bagus game ya,1
game bagus sayang suka lancar jaringan lancar pembaruan pemain menyingkir lihat upadtenya,1
game bagus seru sayang mementingkan skin memperbaiki bug tolong pengembang game pubg perbaiki bug game pemain rugikan,1
aneh konsep menyimpang konsep perang,0
bagus,2
mendapati kegagalan masuk via twitter tolong perbaiki,0
mohon izin mohon lacar ponsel kentang taoi main games pubg,2
bagus,2
bintang ye,2
pembaruan game berat ak hapus pubg bosan pubg mempertimbangkan ponsel bagus ponsel kentang,0
betel,1
seharian gagal login via twitter,0
kasih bintang bug perangkat komputer rendah gamenya main,1
fitur ganti cepat teropong ponsel ya,0
pembaruan kasian ponsel mendukung main pubg,2
sayang menembakan peti harian hoki apalah daya akun up uc bermain sekedar hiburan,1
mengunduh main eh terbuka aplikasi habiskan kuota,0
kenapaa pubg pintu free fire hinaan kenyataan,2
bug team deathmatch main peringkat,0
dobel jaringan mobile legends wifi data jaringan,0
tolong perbaiki bug memuat mengalami macet memuat selesai bertempurudah jam tunggukan loadingnya stuckmasa login pubg masuk tolong perbaiki macet memuat,0
pubg pembaruan versi bagus senang lobi turun mendarat lancar gaya bumi petanya berubah kabur pc ponsel tolong perbaiki biar komunitasnya,2
mengunduh gsk,1
game bagus suka jink,2
parah game pakai wifi super lambat koneksi pakai data tolong perbaiki koneksi jaringannya,0
tolong perbaiki bug login latar berwarna hitam semoga cepat perbaiki,0
perginya awm awm sulit flare awm mencari suplai awm awm pesta terima kasih,0
masuk menu utama beranda game pengaturan bingkai avatar bendera avatar mengisi nama game perbarui tombol menu utama hilangkan game masuk menu pembuatan avatar menemukan tombol kembalinya mohon pencerahannya,1
bagus,2
bagus kandungan kandungannya,1
pengunduhan otomatis cek daftar mengunduh sulit login mengganggu permintaan habis pubg malas main,0
mohon ukuran dikurangi kasihan patah patah,0
game bagus,1
game grafik buruk hd keburikannya anzas kelaz,2
senang bermain pubg mandang apapun mainkan main hepfan bersenang senang ya tolong berkometar ya,2
suka,2
hai tolong kurangin datanya ya tolong,2
ponsel ram gerapick hd buka bingung tencent pakai ponsel ram biar grapick hd pakai ram buka,0
ogiffifigigigiiogogigoohohohohohogkjtjrusdijtghcufhfibfjfbffbfjfnfjfjfjfjgjggjfjfjjffjgjjgjgjgjgjgjfjd bodoh fhufufuruyfysijdinfigjgijiigigjgijgjgjdkgkgkgkjgjgjgjgjgjgjjgjghhjgjjgjghfhjfjfjfjfjjhgytyghuhyhghghhghghghghghghhghghyhyhghyuyuyughghghgjhyfugud bh game seru bagus,2
cheat,1
semenjak pembaruan bergairah jaringan stabil mengunduh peta tonglah bergairah perbaiki biar semangat main,0
pubg bug bersembunyi musuh jongkok tembak kena kepala mati tembak cepat,0
gimenya buggseperti sinyal bagus laggmap perumahantrs tolong kasih fitur biar ngejeda mengunduh data ok oot gamenya,0
login game mengalami memaksa tutup login akun,1
bagus bangkit model keren brutal,2
bagus gamenya,1
pubg berat game pengguna iphone keterbatasann tolong tencentsaran sayang heanpone,0
kakak pembaruan game turunkan,0
grafik buruk,1
berhubung kemerdekaan tolong tambahkan senjata milik indonesia,2
game asap bagus free fire mobile legends pubg haram,0
game haram bos,1
pengiriman coba kurangi pemakaian data ponselnya kentang bermain,0
pubg berat diram berat mohon ringan biar nyaman mainnya,1
game haram bodoh game bodoh,0
game kesal pembaruan masuk game bug unduhan peta unduh unduh icon unduhan muncul,0
bagus,1
menyesal pembaruan pembaruan terbaik pemain,1
bagus,2
bagus,2
game bagus keren,0
maaf tencent persoalannya mengunduh,2
msh lancar,1
bagus,2
masuk akun facebook masuk bug,1
main bug lengket main,0
mohon pubg memperbaiki bug petasinyal lancar diperbaiki pemain pakai ponsel kentang nyamankarena main grafik terputus putus kadang pulaunya bug sekitaran mati posisi musuh sekalisekian terima kasih semoga tanggapi pubg,1
bug livik parah tembakan automatis terdengar tembakan tunggal lawan tolong perhatikan pengguna bayar game nikmati,0
game bagus orang kebanyakan kasar,1
disaat mati nonton teman main gambar lancar,1
nyaman kesalahpahaman,2
bagus,2
mengalami grafik terputus putus drop tolong perbaiki,1
ponsel ram snapdragon lancar grafik terputus putus drop game ramah ponsel spesifikasi,2
game hara,1
komentar jugaga tanggapi tuk diperbaikialasannya sedihalasannya sedih kitawoi pengembang game ampasmakin pembaruan parah gamenyabug dimanamanatapi urus kalaboradi berguna memberatkan permainan,0
server down,0
ya lancar main sinyal bagus tolong perbaiki,2
jo,1
game bagus,2
tencent macet spesifikasi ponsel ngefreeze ah malas bug,0
mainkan game mengunduh datanya ram ponsel tolong pubg mobile perkecil datanya terima kasih,1
tolong pengelolah game tolong kecilkan mohon ponsel lancar,1
bug,1
lh membeliy kitet buka royle pass musim buka royal pass buka tolong lh nyaman mencari uang mendi hapus jh pubg basad,1
sekaly lee,2
kurangilah biar ponsel kentang main ponsel kentang main peminatnya,0
good game,0
bagus,2
mari cob,2
game bagus seru berharap semoga pubg bagus,2
kecewa pubg devic mendukung berat game bermain jaringan jaringan cepat pemain musim kecewa pubg pembaruan pubg seseru,0
pembaruan,0
ukuran,1
tencent buka peti dapetnya jelek kau pelit,0
hoki anjing pemain gratiskan,2
turun parasut langsung main,0
bintang ponsel kentang,1
tolong bugnya perbaiki bug mati livik rekan tim macet hidupkan karakter tolong perbaikan nyaman main semoga baca,1
game suka mengecewakan pemain,2
ya better meet enmy ya lancar,2
bagus,1
xx,1
mengunduh aplikasi pubg mobile plestore selesai mengunduh buka oh login bilang mengunduh rouse obb game baturibet mengunduh free fire parah langsung mengunduh buka game tarik,1
pastikan pembaruan tame pembaruan hapus say butuh hiburan gocek keuangan beli ponsel ram,0
hahahaahahha ponsel kentang mengunduh pubg mobile legends free fire efotbal fifa mengunduh game ponsel kentang,2
pembaruan elite gratiskan sulit,2
good game,2
game pembaruan berkali disuruh pembaruan kuota berkuras masuk game disuruh pembaruan,0
cheat,0
gamenya bagus suara senjata bagus sikat game ya bg,1
halo tencent tolong perangkat realme akses grafis halus ekstrim,1
game cupu laporkan bug hilang hilang mainnya bug tolong perbaiki dorongan peringkat sulit,0
vietnam,0
tolong ringankan ponsel spesifikasi rendah lancar bermain,1
tolong perbaiki game mati lihat teman musuhnya tolong perbaiki,1
tolong koneksi perbaiki koneksi mengalami bug,1
tolong bugnya in main team deathmatch senjata pelurunya jaringan bagus bagus emosi,1
skin militer karakter,2
perbaiki koneksi biar stabil biar lancar pembaruan ponsel kuat butuh kenyamanan bermain berganti perangkat mahal,1
game bagus suka bug tolong ya pubg,2
penyimpanan berat ram,1
game seru bug main ultimate arena membunuh musuh mengalahkan rapi victory membunuh perasaan membunuh musuh mengalahkan main membunuh musuh mengalahkan membunuh perasaan mengalahkan down musuhnya tolong perbaiki bugnya main game pertarungan,2
akun bajak ya,1
ok,1
dds,0
pembaruan,1
game haram,0
daya ph kentang,2
lancar grafik patah patah laksi karakter normal bug turun ramai pemainnya,1
peta payload hapus suka persenjataan kendaraan suka peta tolong kembalikan peta payload,0
bosan cheat,1
main giliran main aneh pembaruan,0
game jelek,1
pubg emulator android pisahin ramai game,0
kesal sistem game memperbolehkan main tier berbeda bermain teman jarang online,2
ponsel profesional kacau suka patah,0
bingung game membakar ponsel membuka memain memegang panas,1
game bagus tolong tencent mohon game berat snapdragon patah patah,2
orang bodoh,1
maaf bintang main skin didalam normal mainpadahal up ampuntolongbdi perbaiki pemain main game initerima kasih sebelumx hiburan sesuai minat kesukaan sayapamit,0
pembaruan rusak sistemnya tencent,0
su pembaruan kebanyakan file mengunduh game kuat perangkat terima kasih pubg mobile indonesia,1
tolong perbaiki permintaan timeout permintaan habis,2
pengembang tolong mengunduh login,1
game berat dr giga mohon turunkan biar peminat bertahan suka pembaruan,0
game bagus orang pubg haram,1
penyimpanan pubg mobile main grafik terputus putus lancar ram aplikasinya berat ringan enk mulus ram langkah jejak kakinya kentara musuh mohon diperbaiki malaslah main pubg,0
pembaruan berat pubg musim,0
kasih bintang bug masuk peta ponsel mengunduh sumber peta memengaruhi masuk peta macet tanah menit macet,2
bintang bug,2
om nyaman seson lagu alan walker on tolong kasih penjelasan bijak om,0
main,2
sinyal ms perasaan lancar ms serasa ms ms patah patah mohon admin,0
grafik terputus putus drop fps ram kosong penyimpanan luas aman gamenya msh grafik terputus putus drop tolong perbaiki ya,2
perangkat mi ringan mendukung fps dibawahnya mendukung,2
mencoba,1
bug hilang keluhan grafik terputus putus tolong perbaiki tencentkraftonlevel infinite,2
mencoba semoga mengecewakan,1
game anjing,0
nyata malas main pubg recall mode klasik ruang sepi,0
masuk anjing pakai wifi jaringan wifi buktinya mobile legends lancar lancar,0
tolong perangkat samsung snapdragon mohon pembaruan fps layar mendukung,1
bagus,1
suka,2
berat game pengguna ponsel ekonomi menengah mainkan game mode game,0
komentar bagus,2
game kontol,0
pengembang protes memuat tulisan kalimatan ditukangi bilangan jancker kakak memeriksa ker,0
pengaturan error,0
pembaruan bermain erangel livik grafik terputus putus jaringan ms tolong pertimbangan pubg terima kasih,1
tolong tier platinum kebawah dikurangi cheat akun kena blokir kurangi cheat perketatkan keamanan tambahkan fitur anti cheat bintang diperbaikin sebentar kasih bintang bug tolong dikurangi,1
mengunduh,0
pembaruan sungguh ancurnyaapa rasakan ponsel kentang updetproses rendering bangunan dibilang normaltapi pembaruan sungguh kecewaproses rendering bangunan buruk,1
bug,1
game nyaman bug,0
seru,0
game akun hilang ponsel lupa sandi mengatur ulang nama akun tolong kembalikan akun kasih bintang,2
bagus,1
oke kasih,1
suka game terjun pesawat bug kasih bintang perbaiki kasih bintang,1
game rusaak,0
musuh hebat kesal pubg,0
hallo pengembang kritik rasakan pertandingan ya jaringan stabil masuk server zona asia menunggu pertandingan menitan jt pemain kemanaitu kritikan semoga benarkan pengembang,1
mengunduh berjalanpadahal berhenti sebentar downloadnyamohon bug scene login macet situ mematikan data dihidupkan tolong,2
admin tolong benarkan bug mode perangyakali muncul analog,1
admin pubg mobile maksudnyatolong,1
game grafik buruk hapus,0
bug pakai amr buka teropong bidik titik tembaknya beda crosshair tolong ya kakak peta metro royale drop item peta drop drop,0
pembaruan game klw turun peminat game pubg temenq pensiun perangkat mumpuni,1
bagus game,2
tolong bug suara perbaiki ya kecewa bug mikrofon error hapus mengunduh sajatolong perbaiki kasih bintang ya kecewa,1
hai pubg mobileuntuk game bagus suka game ringankan ponsel rendah lancar aplikasi handphone,1
ya admin ponsel kentang,2
sisca kohl ponsel sanggup main inii,0
komentar,0
berat game main terkendala ponsel main game,0
membenci benci main game hehe gatau heh malas gamenya bagus main paksa dasar laki perempuan main pubg cari hai cari mulus plus seksi apalah main aowkaowk marah game orangnya dasar aneh intinya laki maunya cobalah memaksa asgh dasar manusia,0
pemain mengunduh appk aneh game keliatannya seru komentarnya kesal game hai saran,2
server error pakai nonton youtube lancar,1
game elite jaringan sulit,0
maaf ya main pubg ponsel kuat pemain pubg pubg nyaman tangan pembaruan ponsel kuat main patah ponsel lancar mo,0
jelek,0
game cheat pemain murni cheat game memutuskan bermain game tahan maaf pubg mobile,0
kenyamanan tolonglah basmi namanya cheat dibalik dinding ditembaki dinding jarak kerusakan diluar zona kena kerusakan tolong basmi tu kenyamanan,1
pubg ringan hadir server global ya pakai penyimpanan cukupmaklum ponsel kentang,1
game bagusmaps bagus,2
login jam anjing,0
say kasih bintang,1
develepor coba awasi pemain curang pemain memakai konfigurasi merugikan pemain,1
aplikasi bagus,1
is blokir bau bagus bayi,0
turun jelly kakak,2
lancar,1
mengalami parah musuh henpon snapdragon spesifikasi bagus bagus tolong pembaruan kurangi hilangkan senjata acara perbaiki firstnya terima kasih,1
atur usia peringatan main jam tolong pemberitahuan batas bermain suka bermain jam peringatkan usia diatas foto profil pubg lihat ponsel vivo kenapan peringatan balas komentar diam pemilik game,0
salah game ponsel kntg,0
excuse me tolong belok off auto mengunduh ya disturbing in lobi pakai internet koneksi stabil terima kasih,2
bagus,2
sebenar seru game grafik pc stingan kontrol sulit rumit permainan bagus,2
pengalaman buruk lobi memuat memuat jaringan lancar pertempuran lancar jaringan mbps,1
kasih bintang jahat,0
bagus,2
mohon diperbaiki bug suara senjata musuh pemain seakan suara tembakan peluru layaknya bot menyulitkan memprediksi arah tembakan pubg mobile buruk kepuasan pemain pencapaian tertinggi tencent peringkat mohon diperhatikan,0
mobile legends,1
perbaiki bug,0
tencent tolong skin bajunya,2
kakak pembaruan game turunkan,0
ti,2
kentang ponsel game berharap fps ponsel kentang dengar kasih solusi ponsel kentang dg mengorbankan skin main lancar,2
bagus,2
login posisi tombol bergeser repot atur ulang,1
lancar mengecewakan sulit,0
gamenya bagus bug grafisnya ketahan cheat keamanan,1
menurun minat pemain gamenya berat,0
kerah bagus,0
tolong perbaiki bug admin,1
game bagushayang ngising ge,2
kasih coba,0
gamenya bagus,2
bagus bunuh teman peta unrangked jalan suka sistem tolong perbaiki,0
pubg haram mati asap,2
pembaruan buruk bug lancar masuk pertemuan pemain smakin sulit sulit lbih baiknya benarkan bug mengalami bug merugikan pengembang terhormat terima kasih,1
giliran hapus instalan pembaruan berlari acara mengunduh habis acara bagus pubg mengecewakan pemain main mengecewakan semoga kedepan bagus,2
ok,1
bug kerusakan musuh tembak memukul mati gantian tembak memukul santai keterangan kerusakan ponselnya brapa smisal pakai vest kerusakan mati mati anjing,0
bagus bro,1
main tulisan pubg mobile berhenti perbaikilah main semoga perbaiki ya,0
kembalikan nostalgia,2
hallo tencent ngambil sentaja bug memegang senaja lout peluru tolong perbaiki,1
aplikasinya berat pembaruan,1
pubg mobilekenapa akun login gamepadahal wifidi suruh mengulang ponsel jugatetapi loginpadahal membuka aplikasi bagus sinyal sayaentah login pubg,1
mantep,2
pubg pembaruan musim tolong tema livik ubah pubg pubg kenangan pubg in tolong,0
game keren tolong rendahkan larinya keren kasih bintang lupa pembaruan sekian ucapan terima kasih,1
minggu masuk game dicoba keterangan unknown error kode dihapus install ulang game,0
sugik,2
ok,2
maaf tencent menghina game combeck bermain game akun terima kasih yh tencent game pu game haram main game terima kasih,2
deskripsikan,2
admin bug tombol bom sembuhnya kadang hilang mengganggu sisanya ok ok bug tombol hilang mengganggu semoga cepat admin,2
bagus game,1
kecewa main,1
lancar ya malam siangpagikemaren ngelagg ngelagg parah lobi lancar masuk pertempuran grafik terputus putus parah,0
ponsel redmi mengaktifkan,1
alasan mengasih bintang mencoba game,2
maaf admin tolong grafiknya baguskan ponsel realme grafiknya halus mengganggu permainannya,1
game login,0
samsung bug grafik hitam bermain tolong perbaiki bug musuh didalam gedung bangunan rumput teropong berwarna hitam,0
bagus,2
pastikan tim it tencetkrafton menyelesaikan isu bug kualitas pingdrop grafik terputus putus rindu pubg pubg merepotkan salam ayam makan malam,1
mahal mengunduh ya,0
main free fire,2
bagus,2
main tunggu ganti perangkat,2
bug game pubg tolong atasi,1
game haram,0
bug mengunduh resourcesama mengunduh obb,1
buruk game,0
media teknologi dimensi graphic balance ekstrim lawak,1
gugg,2
pubg lancar jaringan bagus ngelekdan pubg acara menarik,0
bagus,2
bagus bagus,1
bug rusak game njir,0
miminpubg ganteng tolong grafik dibuka ponsel kentang tolong yaaplis admin ganteng ya tolong ya retas,2
bintangnya turun smakin pembaharuan meresahkan pemakai ponsel kentang,1
admin pembaruan macet,0
puluhan laporan grafik terputus putus drop bug turun acara,1
oke terima kasih,2
bos gagal masuksiang main malam masuk benaer,0
mohon maaf bug motor kencang tembus tembok mohon perbaiki,2
good game ram,1
coba perbaiki lambat bintang,2
kurangin kakak memorinyakita main game saingan bagus ponsel,1
tolong memukul effect in pubg,1
menarik bug permainan terganggu bug,0
sulit login,1
keren,2
bug suara senjata mengecoh pemain terkadang musuh lancar pindah posisi sepengetahuan pemain tolong tindaklanjuti,1
lancar ya malas main game suka,0
bug ponsel mumpuni game berat bagus pembaruan,1
game zangat bagus anak permainan bagus ngepronn ajmnjay,2
game bagus,1
parah sulit masuk,0
game stelah pembaruan masuk,0
seru bagus,2
bagus,2
bagus,2
maaf kasih bintang donload pasang aplikasinya emosi ya aplikasi bug parah wifi mohon perbaiki,0
teruntuk admin gamenya bug bermain tim deathmatch mengalami bug jaringan bagus tolong admin tindak lanjuti terima kasih,1
kebanyakan bug,1
pemula,2
grafik terputus putus drop dimana acara bagus menarikintinya tolong kurangin grafik terputus putus drop biarkan,1
main pubg teman,2
game kebanyakan menu selamat permintaan menginstall,0
mohon pisahkan pengguna android iphone memengaruhi game bermain pemula sekian sja terima kasih mohon tanggapi,1
game berat pelit kasih gratiskan,1
login otorisasi dibatalkan,0
game bodoh,0
livik bug sanhok perang tulisan pertandingan sisa orang langsung paksa lobi lobi tulisannya ti jaringan ms grafik terputus putus fps stabil kejadian kecuali erangel miramar tolong perbaiki biar pemain nyaman main gamenya sepi indonesia,0
game aneh main lancar jaringannya merah bug kadang suara orang tembak terdengarnya menunda kasih bintang game sulit semangat tencent krafton,2
anjing,0
asw,0
bagus wajar bug game online,2
bagus,2
samsung perim main game,0
game bagus pubg game free free berbeda,1
bug melulu game main berat gerakkan nyamohon akun perbaharui tensensupaya main bug melulu,1
game bug,2
server buruk,0
games bagus teman teman,2
login mengunakan facebook pubg login muncul otorisasi dibatalkan,1
ya pembaruan musim bug mobil dacia jeep suaranya,1
pembaruan versi nj,1
bagus gamenya,2
main dilivik habis langsung bug,0
memasangkan jaringan wifi kuat tolong diperbaiki bosan tunggu,0
turunkan siapanya ponsel cepat panas,1
menghibur,2
tolong game spam mengunduh,1
main pastikan ponsel bagus ya sayang,0
seru,2
cobak,0
cacad main game lobi sketika jaringan lancar mulupas buka aplikasi,0
bintang pubg mobile kendalanya diperbaiki kendala mengganggu bug dimana recall teman tim bug recall grafik terputus putus drop meneropong midstein peta jarak selebihnya mohon pembaruan diberikutnya perbaiki kendalanya main leluasa,1
